time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2020-08-01 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.13,5.41,2.29,38.71,0.0,0.0
2020-08-01 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.12,5.11,2.27,36.41,0.0,0.0
2020-08-01 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.11,4.82,2.25,35.29,0.0,0.0
2020-08-01 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,2.22,32.03,0.0,0.0
2020-08-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,2.2,30.98,0.0,0.0
2020-08-01 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,2.17,27.95,0.0,0.0
2020-08-01 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,2.16,27.95,0.0,0.0
2020-08-01 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,2.13,25.08,0.0,0.0
2020-08-01 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,2.11,23.26,0.0,0.0
2020-08-01 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,2.09,22.38,0.0,0.0
2020-08-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,2.08,21.51,0.0,0.0
2020-08-01 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,2.07,20.67,0.0,0.0
2020-08-01 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,2.05,19.84,0.0,0.0
2020-08-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,2.05,19.84,0.0,0.0
2020-08-01 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,2.03,18.24,0.0,0.0
2020-08-01 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,2.03,18.24,0.0,0.0
2020-08-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.1,2.02,17.46,0.0,0.0
2020-08-01 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.1,2.01,16.7,0.0,0.0
2020-08-01 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.1,2.01,16.7,0.0,0.0
2020-08-01 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.9,2.0,16.7,0.0,0.0
2020-08-01 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.9,2.0,16.7,0.0,0.0
2020-08-01 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.9,2.0,16.7,0.0,0.0
2020-08-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.9,1.99,15.97,0.0,0.0
2020-08-01 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.9,1.99,15.97,0.0,0.0
2020-08-01 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.99,15.97,0.0,0.0
2020-08-01 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.98,15.25,0.0,0.0
2020-08-01 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.98,15.25,0.0,0.0
2020-08-01 21:50:00,0.0,0.0,0.0,2.0,0.0,1.0,1.02,2.7,1.98,15.25,0.399,1.037
2020-08-01 22:00:00,0.0,1.0,0.0,1.0,3.0,0.0,1.02,2.7,1.97,14.54,0.8220000000000001,1.841
2020-08-01 22:10:00,0.0,0.0,1.0,1.0,2.0,1.0,1.02,2.7,1.97,14.54,0.591,1.451
2020-08-01 22:20:00,1.0,0.0,1.0,1.0,9.0,0.0,1.02,2.7,1.97,14.54,1.376,4.547000000000001
2020-08-01 22:30:00,0.0,2.0,1.0,6.0,7.0,6.0,1.07,3.77,1.97,14.54,3.587,6.4510000000000005
2020-08-01 22:40:00,0.0,0.0,0.0,3.0,3.0,10.0,1.15,6.05,1.96,13.86,3.107,3.427
2020-08-01 22:50:00,0.0,2.0,0.0,3.0,1.0,1.0,1.24,9.59,1.97,14.54,1.344,1.976
2020-08-01 23:00:00,0.0,7.0,1.0,1.0,0.0,3.0,1.35,15.42,1.97,14.54,3.454,0.671
2020-08-01 23:10:00,1.0,3.0,1.0,0.0,1.0,1.0,1.45,22.12,1.97,14.54,1.6720000000000002,0.512
2020-08-01 23:20:00,4.0,6.0,3.0,0.0,0.0,1.0,1.53,28.61,1.98,15.25,3.181,0.061
2020-08-01 23:30:00,4.0,1.0,4.0,5.0,0.0,0.0,1.6,35.18,2.07,20.67,1.451,2.44
2020-08-01 23:40:00,2.0,0.0,1.0,1.0,2.0,0.0,1.61,36.19,2.36,46.08,0.662,1.39
2020-08-01 23:50:00,0.0,1.0,1.0,1.0,3.0,0.0,1.59,34.19,2.73,81.18,0.8380000000000001,1.841
2020-08-02 00:00:00,1.0,0.0,0.0,1.0,2.0,0.0,1.55,30.4,2.96,107.31,0.485,1.39
2020-08-02 00:10:00,0.0,0.0,0.0,1.0,7.0,0.0,1.54,29.5,3.1,123.98,0.949,3.645
2020-08-02 00:20:00,2.0,0.0,1.0,1.0,5.0,0.0,1.53,28.61,3.17,133.53,1.037,2.743
2020-08-02 00:30:00,0.0,0.0,0.0,2.0,3.0,1.0,1.54,29.5,3.2,136.79,0.774,2.39
2020-08-02 00:40:00,0.0,0.0,0.0,2.0,2.0,1.0,1.63,38.26,3.21,138.44,0.649,1.939
