time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2024-07-17 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.92,9.27,0.0,0.0
2024-07-17 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-17 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-17 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.8,0.0,0.0
2024-07-17 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.8,0.0,0.0
2024-07-17 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,10.35,0.0,0.0
2024-07-17 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,10.35,0.0,0.0
2024-07-17 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-17 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-17 23:50:00,0.0,0.0,1.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.016,0.0
2024-07-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.8,0.0,0.0
2024-07-18 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-18 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.92,9.27,0.0,0.0
2024-07-18 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,9.27,0.0,0.0
2024-07-18 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,8.75,0.0,0.0
2024-07-18 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.91,8.75,0.0,0.0
