time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-08-11 02:10:00,3.0,2.0,4.0,1.0,1.0,1.0,1.61,35.34,2.75,71.94,1.743,1.0
2022-08-11 02:20:00,3.0,3.0,4.0,5.0,1.0,8.0,1.63,37.46,2.76,74.42,4.1690000000000005,3.379
2022-08-11 02:30:00,5.0,8.0,4.0,2.0,6.0,3.0,1.67,41.94,2.79,78.23,5.504,3.865
2022-08-11 02:40:00,2.0,2.0,2.0,1.0,1.0,0.0,1.69,44.31,2.87,86.19,1.299,0.939
2022-08-11 02:50:00,0.0,0.0,1.0,0.0,0.0,0.0,1.71,46.76,2.97,102.0,0.016,0.0
2022-08-11 03:00:00,0.0,0.0,0.0,2.0,0.0,0.0,1.74,50.61,3.01,126.12,0.148,0.976
2022-08-11 03:10:00,0.0,0.0,0.0,7.0,9.0,3.0,1.78,56.06,3.24,151.41,2.396,7.657999999999999
2022-08-11 03:20:00,0.0,1.0,0.0,1.0,7.0,0.0,1.87,65.98,3.32,165.09,1.322,3.645
2022-08-11 03:30:00,0.0,1.0,0.0,0.0,4.0,0.0,1.95,74.49,3.36,169.13,0.873,1.804
2022-08-11 03:40:00,0.0,0.0,0.0,0.0,1.0,1.0,2.07,88.16,3.34,169.13,0.376,0.512
2022-08-11 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,2.2,104.17,3.32,169.13,0.0,0.0
2022-08-11 04:00:00,0.0,0.0,0.0,1.0,1.0,0.0,2.34,123.97,3.35,171.17,0.199,0.939
2022-08-11 04:10:00,1.0,1.0,1.0,3.0,1.0,3.0,2.45,143.23,3.37,177.38,1.65,2.098
2022-08-11 04:20:00,3.0,3.0,3.0,7.0,4.0,12.0,2.5,152.5,3.38,183.72,5.68,5.952
2022-08-11 04:30:00,10.0,15.0,6.0,4.0,2.0,5.0,2.53,158.21,3.5,194.57,9.102,3.1590000000000003
2022-08-11 04:40:00,2.0,3.0,8.0,6.0,2.0,2.0,2.54,160.14,3.64,222.14,2.765,3.952
2022-08-11 04:50:00,3.0,3.0,4.0,3.0,5.0,3.0,2.54,160.14,3.84,278.39,3.266,3.902
2022-08-11 05:00:00,3.0,3.0,3.0,3.0,4.0,3.0,2.54,160.14,4.05,348.47,3.125,3.451
2022-08-11 05:10:00,2.0,3.0,3.0,2.0,3.0,1.0,2.56,164.04,4.31,410.64,2.263,2.39
2022-08-11 05:20:00,3.0,3.0,3.0,4.0,4.0,2.0,2.62,176.05,4.46,456.69,2.9480000000000004,3.878
2022-08-11 05:30:00,1.0,1.0,2.0,2.0,4.0,2.0,2.7,192.79,4.56,494.09,1.716,2.902
2022-08-11 05:40:00,0.0,1.0,0.0,1.0,0.0,1.0,2.81,217.18,4.62,517.37,0.698,0.5489999999999999
2022-08-11 05:50:00,0.0,0.0,0.0,1.0,1.0,1.0,2.88,233.54,4.62,533.24,0.45,1.0
2022-08-11 06:00:00,0.0,0.0,0.0,0.0,1.0,0.0,2.9,238.33,4.6,537.26,0.125,0.451
2022-08-11 06:10:00,0.0,0.0,1.0,1.0,0.0,0.0,2.89,235.93,4.65,537.26,0.09,0.488
2022-08-11 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,2.84,224.11,4.63,529.25,0.0,0.0
2022-08-11 06:30:00,1.0,0.0,0.0,0.0,1.0,1.0,2.75,203.68,4.51,529.25,0.537,0.512
2022-08-11 06:40:00,0.0,0.0,0.0,1.0,0.0,0.0,2.67,186.41,4.58,509.54,0.074,0.488
2022-08-11 06:50:00,0.0,0.0,0.0,1.0,2.0,0.0,2.57,166.01,4.62,505.65,0.324,1.39
2022-08-11 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,2.48,148.75,4.48,497.93,0.251,0.061
2022-08-11 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,2.41,136.05,4.48,478.92,0.0,0.0
2022-08-11 07:20:00,0.0,2.0,0.0,0.0,0.0,0.0,2.35,125.66,4.41,460.35,0.746,0.0
2022-08-11 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,2.31,118.98,4.34,431.54,0.0,0.0
2022-08-11 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,2.27,113.32,4.28,400.43,0.0,0.0
2022-08-11 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,2.23,108.05,4.16,367.46,0.0,0.0
2022-08-11 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.19,102.9,4.0,327.07,0.0,0.0
2022-08-11 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,2.16,99.11,3.87,295.05,0.0,0.0
