,Start Index,End Index
0,2016-01-13 18:20:00,2016-01-14 08:20:00
1,2016-01-14 23:30:00,2016-01-15 13:30:00
2,2016-02-11 23:40:00,2016-02-12 13:40:00
3,2016-02-12 13:10:00,2016-02-13 03:10:00
4,2016-02-13 04:30:00,2016-02-13 18:30:00
5,2016-02-13 18:00:00,2016-02-14 08:00:00
6,2016-02-16 00:40:00,2016-02-16 14:40:00
7,2016-02-16 14:50:00,2016-02-17 04:50:00
8,2016-02-26 23:40:00,2016-02-27 13:40:00
9,2016-02-28 15:10:00,2016-02-29 05:10:00
10,2016-02-29 09:10:00,2016-02-29 23:10:00
11,2016-03-04 23:00:00,2016-03-05 13:00:00
12,2016-03-05 12:40:00,2016-03-06 02:40:00
13,2016-03-06 02:50:00,2016-03-06 16:50:00
14,2016-04-03 11:10:00,2016-04-04 01:10:00
15,2016-04-06 21:30:00,2016-04-07 11:30:00
16,2016-04-13 04:40:00,2016-04-13 18:40:00
17,2016-04-16 17:50:00,2016-04-17 07:50:00
18,2016-04-18 17:10:00,2016-04-19 07:10:00
19,2016-04-19 12:00:00,2016-04-20 02:00:00
20,2016-04-21 00:00:00,2016-04-21 14:00:00
21,2016-04-22 10:10:00,2016-04-23 00:10:00
22,2016-05-02 18:40:00,2016-05-03 08:40:00
23,2016-05-03 08:10:00,2016-05-03 22:10:00
24,2016-05-03 21:40:00,2016-05-04 11:40:00
25,2016-05-05 21:20:00,2016-05-06 11:20:00
26,2016-05-06 12:00:00,2016-05-07 02:00:00
27,2016-05-07 12:00:00,2016-05-08 02:00:00
28,2016-05-10 05:10:00,2016-05-10 19:10:00
29,2016-05-15 14:40:00,2016-05-16 04:40:00
30,2016-05-24 00:40:00,2016-05-24 14:40:00
31,2016-06-11 15:10:00,2016-06-12 05:10:00
32,2016-06-15 05:30:00,2016-06-15 19:30:00
33,2016-06-15 19:20:00,2016-06-16 09:20:00
34,2016-06-22 16:10:00,2016-06-23 06:10:00
35,2016-06-23 22:40:00,2016-06-24 12:40:00
36,2016-06-30 05:30:00,2016-06-30 19:30:00
37,2016-07-01 00:50:00,2016-07-01 14:50:00
38,2016-07-01 14:20:00,2016-07-02 04:20:00
39,2016-07-02 04:00:00,2016-07-02 18:00:00
40,2016-07-04 08:00:00,2016-07-04 22:00:00
41,2016-07-04 21:30:00,2016-07-05 11:30:00
42,2016-07-05 11:00:00,2016-07-06 01:00:00
43,2016-07-06 07:10:00,2016-07-06 21:10:00
44,2016-07-07 11:10:00,2016-07-08 01:10:00
45,2016-07-11 21:50:00,2016-07-12 11:50:00
46,2016-07-14 01:40:00,2016-07-14 15:40:00
47,2016-07-15 23:20:00,2016-07-16 13:20:00
48,2016-07-16 12:50:00,2016-07-17 02:50:00
49,2016-07-17 02:20:00,2016-07-17 16:20:00
50,2016-07-17 17:50:00,2016-07-18 07:50:00
51,2016-07-24 22:20:00,2016-07-25 12:20:00
52,2016-07-26 11:50:00,2016-07-27 01:50:00
53,2016-07-27 21:30:00,2016-07-28 11:30:00
54,2016-07-29 06:50:00,2016-07-29 20:50:00
55,2016-07-29 22:10:00,2016-07-30 12:10:00
56,2016-07-31 00:10:00,2016-07-31 14:10:00
57,2016-07-31 14:00:00,2016-08-01 04:00:00
58,2016-08-01 11:50:00,2016-08-02 01:50:00
59,2016-08-02 10:20:00,2016-08-03 00:20:00
60,2016-08-08 14:50:00,2016-08-09 04:50:00
61,2016-08-09 06:30:00,2016-08-09 20:30:00
