time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2015-07-24 17:30,0,0,0,1.13,5.41,0
2015-07-24 17:40,0,0,0,1.13,5.41,0
2015-07-24 17:50,0,0,0,1.12,5.11,0
2015-07-24 18:00,0,0,0,1.12,5.11,0
2015-07-24 18:10,0,0,0,1.12,5.11,0
2015-07-24 18:20,0,0,0,1.12,5.11,0
2015-07-24 18:30,0,0,0,1.12,5.11,0
2015-07-24 18:40,0,0,0,1.11,4.82,0
2015-07-24 18:50,0,0,0,1.11,4.82,0
2015-07-24 19:00,0,0,0,1.11,4.82,0
2015-07-24 19:10,0,0,0,1.11,4.82,0
2015-07-24 19:20,0,0,0,1.11,4.82,0
2015-07-24 19:30,0,0,0,1.1,4.54,0
2015-07-24 19:40,0,0,0,1.1,4.54,0
2015-07-24 19:50,0,0,0,1.1,4.54,0
2015-07-24 20:00,0,0,0,1.1,4.54,0
2015-07-24 20:10,0,0,0,1.09,4.27,0
2015-07-24 20:20,0,0,0,1.09,4.27,0
2015-07-24 20:30,0,0,0,1.09,4.27,0
2015-07-24 20:40,0,0,0,1.09,4.27,0
2015-07-24 20:50,0,0,0,1.09,4.27,0
2015-07-24 21:00,0,0,0,1.09,4.27,0
2015-07-24 21:10,0,0,0,1.08,4.02,0
2015-07-24 21:20,0,0,0,1.08,4.02,0
2015-07-24 21:30,0,0,0,1.08,4.02,0
2015-07-24 21:40,0,0,0,1.08,4.02,0
2015-07-24 21:50,0,0,0,1.08,4.02,0
2015-07-24 22:00,0,1,0,1.08,4.02,0.451
2015-07-24 22:10,0,0,0,1.08,4.02,0
2015-07-24 22:20,0,0,0,1.08,4.02,0
2015-07-24 22:30,1,0,0,1.07,3.77,0.488
2015-07-24 22:40,0,1,0,1.07,3.77,0.451
2015-07-24 22:50,0,0,0,1.07,3.77,0
2015-07-24 23:00,1,0,1,1.07,3.77,0.549
2015-07-24 23:10,0,0,0,1.07,3.77,0
2015-07-24 23:20,0,0,0,1.07,3.77,0
2015-07-24 23:30,0,0,0,1.07,3.77,0
2015-07-24 23:40,0,0,0,1.07,3.77,0
2015-07-24 23:50,0,0,0,1.07,3.77,0
2015-07-25 0:00,0,0,0,1.07,3.77,0
2015-07-25 0:10,0,0,0,1.07,3.77,0
2015-07-25 0:20,0,0,0,1.07,3.77,0
2015-07-25 0:30,0,0,0,1.07,3.77,0
2015-07-25 0:40,0,0,0,1.07,3.77,0
2015-07-25 0:50,0,0,0,1.07,3.77,0
2015-07-25 1:00,0,0,0,1.07,3.77,0
2015-07-25 1:10,0,0,0,1.07,3.77,0
2015-07-25 1:20,0,0,0,1.08,4.02,0
2015-07-25 1:30,0,0,0,1.08,4.02,0
2015-07-25 1:40,0,0,0,1.08,4.02,0
2015-07-25 1:50,1,1,1,1.08,4.02,1
2015-07-25 2:00,1,1,0,1.08,4.02,0.939
2015-07-25 2:10,1,1,1,1.08,4.02,1
2015-07-25 2:20,0,1,1,1.08,4.02,0.512
2015-07-25 2:30,1,2,0,1.08,4.02,1.39
2015-07-25 2:40,0,1,0,1.08,4.02,0.451
2015-07-25 2:50,1,1,0,1.09,4.27,0.939
