time	서울시(대곡교)	성남시(성남북초교)	광주시(남한산초교)	성남시(대장동)	성남시(구미초교)	성남시(한국학중앙연구원)	성남시(궁내교)_WL	성남시(궁내교)_Q	서울시(대곡교)_WL	서울시(대곡교)_Q	대곡교_Ti	궁내교_Ti
2017-07-23 1:00	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 1:10	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 1:20	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 1:30	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 1:40	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 1:50	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 2:00	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 2:10	0	0	0	0	0	0	0.98	2.01	1.92	13.96	0	0
2017-07-23 2:20	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 2:30	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 2:40	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 2:50	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:00	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:10	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:20	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:30	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:40	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 3:50	0	0	0	0	0	0	0.97	1.86	1.92	13.96	0	0
2017-07-23 4:00	0	0	0	0	0	0	0.96	1.72	1.92	13.96	0	0
2017-07-23 4:10	0	0	0	0	0	0	0.96	1.72	1.91	13.1	0	0
2017-07-23 4:20	0	0	0	0	0	0	0.96	1.72	1.91	13.1	0	0
2017-07-23 4:30	0	0	0	0	0	0	0.96	1.72	1.91	13.1	0	0
2017-07-23 4:40	0	0	0	0	0	0	0.96	1.72	1.91	13.1	0	0
2017-07-23 4:50	0	0	0	0	0	0	0.95	1.58	1.91	13.1	0	0
