time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2018-08-28 20:10:00,4.0,2.0,2.0,0.0,0.0,2.0,1.41,19.26,3.1,126.09,1.924,0.122
2018-08-28 20:20:00,15.0,2.0,2.0,0.0,0.0,11.0,1.39,17.92,3.03,121.62,5.954000000000001,0.671
2018-08-28 20:30:00,16.0,24.0,25.0,20.0,2.0,23.0,1.38,17.27,3.11,130.64,19.431,12.065
2018-08-28 20:40:00,6.0,15.0,16.0,23.0,21.0,8.0,1.47,23.65,3.31,156.22,13.152,21.183
2018-08-28 20:50:00,1.0,1.0,2.0,12.0,10.0,11.0,1.67,42.63,3.59,205.06,5.465,11.037
2018-08-28 21:00:00,1.0,2.0,1.0,4.0,10.0,2.0,1.85,63.93,3.93,282.5,2.971,6.584
2018-08-28 21:10:00,1.0,1.0,0.0,2.0,3.0,1.0,1.95,74.49,4.23,359.78,1.308,2.39
2018-08-28 21:20:00,0.0,0.0,1.0,1.0,2.0,2.0,2.09,90.54,4.35,395.16,0.842,1.512
2018-08-28 21:30:00,1.0,1.0,1.0,1.0,1.0,2.0,2.16,99.11,4.47,420.3,1.251,1.061
2018-08-28 21:40:00,0.0,0.0,0.0,1.0,0.0,0.0,2.3,117.34,4.52,434.49,0.074,0.488
2018-08-28 21:50:00,0.0,0.0,0.0,0.0,1.0,0.0,2.58,167.99,4.54,448.84,0.125,0.451
2018-08-28 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.71,194.94,4.58,454.62,0.0,0.0
2018-08-28 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,2.72,197.1,4.58,457.52,0.0,0.0
2018-08-28 22:20:00,0.0,1.0,0.0,0.0,0.0,1.0,2.64,180.15,4.61,460.43,0.624,0.061
2018-08-28 22:30:00,1.0,0.0,0.0,1.0,0.0,0.0,2.54,160.14,4.58,451.73,0.235,0.488
2018-08-28 22:40:00,1.0,1.0,1.0,0.0,0.0,0.0,2.41,136.05,4.58,448.84,0.55,0.0
2018-08-28 22:50:00,1.0,1.0,2.0,0.0,0.0,1.0,2.27,113.32,4.56,448.84,0.8170000000000001,0.061
2018-08-28 23:00:00,2.0,1.0,1.0,0.0,0.0,0.0,2.14,96.63,4.56,443.08,0.7110000000000001,0.0
2018-08-28 23:10:00,0.0,0.0,0.0,1.0,0.0,0.0,2.05,85.81,4.52,443.08,0.074,0.488
2018-08-28 23:20:00,1.0,1.0,1.0,0.0,0.0,0.0,1.96,75.59,4.54,445.96,0.55,0.0
2018-08-28 23:30:00,0.0,1.0,1.0,0.0,0.0,0.0,1.88,67.02,4.5,434.49,0.389,0.0
2018-08-28 23:40:00,1.0,0.0,0.0,0.0,0.0,0.0,1.82,60.91,4.45,417.48,0.161,0.0
2018-08-28 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.76,53.56,4.36,389.65,0.0,0.0
2018-08-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.72,48.5,4.2,351.77,0.0,0.0
2018-08-29 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.68,43.76,4.04,312.66,0.0,0.0
2018-08-29 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.65,40.41,3.88,275.12,0.0,0.0
2018-08-29 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.62,37.22,3.72,241.57,0.0,0.0
2018-08-29 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.59,34.19,3.58,211.75,0.0,0.0
2018-08-29 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.56,31.32,3.43,187.57,0.0,0.0
2018-08-29 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.54,29.5,3.29,168.53,0.0,0.0
2018-08-29 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.52,27.74,3.2,152.19,0.0,0.0
2018-08-29 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.5,26.05,3.06,137.63,0.0,0.0
2018-08-29 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.48,24.43,3.04,126.09,0.0,0.0
2018-08-29 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.46,22.87,2.94,115.08,0.0,0.0
2018-08-29 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.44,21.38,2.93,106.66,0.0,0.0
2018-08-29 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.43,20.66,2.86,100.56,0.0,0.0
2018-08-29 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.42,19.95,2.8,92.73,0.0,0.0
