time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2020-08-03 0:10,0,0,0,0,0,0,1.33,14.26,2.39,48.69,0,0
2020-08-03 0:20,0,0,0,0,0,0,1.33,14.26,2.39,48.69,0,0
2020-08-03 0:30,0,0,0,0,0,0,1.33,14.26,2.38,47.37,0,0
2020-08-03 0:40,0,0,0,0,0,0,1.32,13.7,2.38,47.37,0,0
2020-08-03 0:50,0,0,0,0,0,0,1.32,13.7,2.37,46.08,0,0
2020-08-03 1:00,0,0,0,0,0,0,1.32,13.7,2.37,46.08,0,0
2020-08-03 1:10,0,0,0,0,0,0,1.32,13.7,2.37,46.08,0,0
2020-08-03 1:20,0,0,0,0,0,0,1.32,13.7,2.37,46.08,0,0
2020-08-03 1:30,0,0,0,0,0,0,1.32,13.7,2.36,46.08,0,0
2020-08-03 1:40,0,0,0,0,0,0,1.32,13.7,2.36,46.08,0,0
2020-08-03 1:50,0,0,0,0,0,0,1.31,13.16,2.36,46.08,0,0
2020-08-03 2:00,0,0,0,0,0,0,1.31,13.16,2.36,46.08,0,0
2020-08-03 2:10,0,0,0,0,0,0,1.31,13.16,2.35,44.8,0,0
2020-08-03 2:20,0,0,0,0,0,0,1.3,12.63,2.35,44.8,0,0
2020-08-03 2:30,0,0,0,0,0,0,1.3,12.63,2.34,43.55,0,0
2020-08-03 2:40,0,0,0,0,0,0,1.3,12.63,2.34,43.55,0,0
2020-08-03 2:50,1,0,0,0,0,0,1.3,12.63,2.33,42.31,0.161,0
2020-08-03 3:00,0,0,1,0,0,0,1.3,12.63,2.33,42.31,0.016,0
2020-08-03 3:10,1,1,1,0,0,0,1.3,12.63,2.33,42.31,0.55,0
2020-08-03 3:20,0,1,1,1,0,1,1.29,12.08,2.33,42.31,0.714,0.549
2020-08-03 3:30,1,0,0,0,1,0,1.29,12.08,2.33,42.31,0.286,0.451
2020-08-03 3:40,4,2,4,1,0,3,1.29,12.08,2.33,42.31,2.281,0.671
2020-08-03 3:50,8,4,7,5,1,11,1.29,12.08,2.35,44.8,6.148,3.562
2020-08-03 4:00,10,7,7,11,6,10,1.29,12.08,2.41,51.37,8.407,8.684
2020-08-03 4:10,13,10,16,3,10,6,1.33,14.26,2.53,61.83,9.057,6.34
2020-08-03 4:20,1,1,6,1,17,1,1.4,18.58,2.77,86.4,3.08,8.216
2020-08-03 4:30,1,3,0,1,14,1,1.47,23.65,3.06,119.32,3.355,6.863
2020-08-03 4:40,0,0,0,0,5,0,1.62,37.22,3.32,153.64,0.625,2.255
2020-08-03 4:50,0,0,0,1,2,0,1.92,71.24,3.51,180.6,0.324,1.39
2020-08-03 5:00,0,0,0,2,7,0,2.16,99.11,3.6,193.87,1.023,4.133
2020-08-03 5:10,0,0,0,2,5,0,2.3,117.34,3.62,197.75,0.773,3.231
2020-08-03 5:20,0,0,0,0,4,0,2.41,136.05,3.62,197.75,0.5,1.804
2020-08-03 5:30,0,0,0,1,1,0,2.43,139.62,3.6,193.87,0.199,0.939
2020-08-03 5:40,0,0,0,0,0,0,2.44,141.42,3.6,193.87,0,0
2020-08-03 5:50,0,0,0,1,1,0,2.45,143.23,3.62,197.75,0.199,0.939
2020-08-03 6:00,1,0,0,3,1,6,2.45,143.23,3.7,209.58,2.014,2.281
2020-08-03 6:10,5,3,4,5,1,4,2.41,136.05,3.8,225.85,3.487,3.135
2020-08-03 6:20,3,1,6,0,3,0,2.34,123.97,3.91,244.83,1.327,1.353
2020-08-03 6:30,0,1,2,0,0,1,2.28,114.65,4.02,264.51,0.656,0.061
2020-08-03 6:40,3,1,1,0,0,0,2.21,105.46,4.12,282.61,0.872,0
2020-08-03 6:50,0,1,5,0,0,0,2.14,96.63,4.19,296.54,0.453,0
2020-08-03 7:00,0,0,0,0,0,0,2.11,92.95,4.26,308.39,0,0
2020-08-03 7:10,0,0,0,0,1,0,2.05,85.81,4.31,318.03,0.125,0.451
2020-08-03 7:20,0,0,0,0,0,0,1.98,77.81,4.33,322.9,0,0
2020-08-03 7:30,0,0,0,0,0,0,1.93,72.32,4.33,322.9,0,0
2020-08-03 7:40,0,0,0,0,0,0,1.89,68.06,4.29,315.61,0,0
2020-08-03 7:50,0,3,0,0,0,0,1.86,64.95,4.22,301.26,1.119,0
2020-08-03 8:00,0,0,0,0,0,0,1.83,61.9,4.11,280.32,0,0
2020-08-03 8:10,0,0,0,0,0,0,1.8,58.93,4,262.29,0,0
2020-08-03 8:20,0,0,0,0,0,0,1.77,54.87,3.86,236.3,0,0
2020-08-03 8:30,3,1,0,0,0,0,1.74,50.99,3.72,213.59,0.856,0
2020-08-03 8:40,1,2,4,0,0,0,1.72,48.5,3.6,193.87,0.971,0
2020-08-03 8:50,0,0,0,0,0,0,1.69,44.92,3.51,180.6,0,0
2020-08-03 9:00,0,0,1,0,0,0,1.67,42.63,3.42,167.77,0.016,0
2020-08-03 9:10,0,0,0,0,0,0,1.65,40.41,3.35,157.12,0,0
2020-08-03 9:20,0,0,0,0,0,0,1.64,39.32,3.31,151.91,0,0
2020-08-03 9:30,0,0,0,0,0,0,1.62,37.22,3.25,143.42,0,0
2020-08-03 9:40,0,0,0,1,0,0,1.61,36.19,3.12,127.12,0.074,0.488
2020-08-03 9:50,0,0,0,3,0,1,1.59,34.19,3.13,128.71,0.473,1.525
2020-08-03 10:00,0,0,0,0,0,0,1.59,34.19,3.09,122.41,0,0
2020-08-03 10:10,0,0,0,0,1,0,1.59,34.19,3.11,125.55,0.125,0.451
2020-08-03 10:20,0,0,0,0,0,0,1.58,33.22,3.01,113.24,0,0
2020-08-03 10:30,0,0,0,0,0,0,1.57,32.26,3.05,117.79,0,0
2020-08-03 10:40,0,0,0,0,0,0,1.57,32.26,2.97,108.78,0,0
2020-08-03 10:50,0,0,0,0,0,0,1.56,31.32,2.94,104.4,0,0
2020-08-03 11:00,0,0,0,0,0,0,1.56,31.32,2.92,102.96,0,0
2020-08-03 11:10,0,0,0,0,0,0,1.55,30.4,2.91,101.53,0,0
2020-08-03 11:20,0,0,0,0,0,0,1.54,29.5,2.89,98.69,0,0
2020-08-03 11:30,0,0,0,0,0,0,1.53,28.61,2.9,100.11,0,0
2020-08-03 11:40,0,0,0,0,0,0,1.53,28.61,2.9,100.11,0,0
2020-08-03 11:50,0,0,1,0,0,0,1.52,27.74,2.88,97.29,0.016,0
2020-08-03 12:00,0,0,0,0,0,0,1.51,26.89,2.87,97.29,0,0
