time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-08-08 23:20:00,12.0,20.0,12.0,23.0,21.0,13.0,2.55,162.09,6.5,1103.66,17.174,21.488
2022-08-08 23:30:00,6.0,9.0,11.0,17.0,15.0,11.0,2.94,248.08,6.81,1174.64,10.393,15.732
2022-08-08 23:40:00,5.0,10.0,11.0,20.0,13.0,16.0,3.47,397.93,6.9,1268.03,11.832,16.599
2022-08-08 23:50:00,2.0,5.0,8.0,8.0,10.0,2.0,3.98,579.57,7.19,1360.18,4.659,8.536
2022-08-09 00:00:00,0.0,2.0,1.0,8.0,12.0,2.0,4.35,735.17,7.54,1450.8,3.356,9.438
2022-08-09 00:10:00,0.0,0.0,1.0,6.0,7.0,1.0,4.62,861.69,7.64,1509.81,1.586,6.146
2022-08-09 00:20:00,0.0,0.0,0.0,3.0,3.0,0.0,4.75,926.56,7.81,1554.58,0.597,2.817
2022-08-09 00:30:00,1.0,1.0,0.0,0.0,1.0,0.0,4.83,967.78,7.88,1592.22,0.659,0.451
2022-08-09 00:40:00,0.0,0.0,1.0,0.0,0.0,0.0,4.69,896.3,7.92,1630.16,0.016,0.0
2022-08-09 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,4.5,804.09,7.95,1649.24,0.0,0.0
2022-08-09 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.28,704.17,7.95,1649.24,0.0,0.0
2022-08-09 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,4.07,615.55,7.83,1618.75,0.0,0.0
2022-08-09 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,3.87,537.21,7.79,1577.13,0.0,0.0
2022-08-09 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,3.69,471.69,7.6,1528.41,0.0,0.0
2022-08-09 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,3.51,410.83,7.48,1465.48,0.0,0.0
2022-08-09 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,3.34,357.57,7.29,1396.2,0.0,0.0
2022-08-09 02:00:00,2.0,2.0,2.0,6.0,0.0,1.0,3.19,313.93,7.03,1313.83,1.795,2.989
2022-08-09 02:10:00,2.0,3.0,5.0,11.0,12.0,1.0,3.08,283.9,6.87,1233.16,4.086,10.841
2022-08-09 02:20:00,2.0,4.0,5.0,14.0,7.0,11.0,3.04,273.4,6.63,1147.42,6.566000000000001,10.66
2022-08-09 02:30:00,7.0,12.0,4.0,11.0,10.0,3.0,3.05,276.0,6.48,1086.98,8.484,10.061
2022-08-09 02:40:00,7.0,6.0,8.0,5.0,10.0,3.0,3.13,297.35,6.31,1040.73,5.866,7.132999999999999
2022-08-09 02:50:00,3.0,1.0,8.0,6.0,5.0,2.0,3.36,363.62,6.23,1011.36,2.555,5.305
2022-08-09 03:00:00,1.0,1.0,4.0,7.0,5.0,1.0,3.8,511.17,6.2,991.93,1.992,5.731999999999999
2022-08-09 03:10:00,2.0,1.0,1.0,5.0,8.0,0.0,3.96,571.74,6.15,985.48,2.0810000000000004,6.048
2022-08-09 03:20:00,1.0,0.0,3.0,0.0,1.0,1.0,4.02,595.41,6.16,975.83,0.5850000000000001,0.512
2022-08-09 03:30:00,2.0,2.0,5.0,1.0,0.0,1.0,4.03,599.41,6.14,982.26,1.473,0.5489999999999999
2022-08-09 03:40:00,4.0,6.0,2.0,1.0,1.0,0.0,4.02,595.41,6.2,1004.87,3.113,0.939
2022-08-09 03:50:00,1.0,1.0,6.0,0.0,0.0,2.0,3.96,571.74,6.24,1030.91,1.132,0.122
2022-08-09 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,3.84,525.96,6.31,1053.88,0.447,0.488
2022-08-09 04:10:00,0.0,0.0,1.0,0.0,1.0,0.0,3.72,482.28,6.25,1060.47,0.141,0.451
2022-08-09 04:20:00,2.0,2.0,0.0,0.0,0.0,0.0,3.6,440.68,6.35,1053.88,1.068,0.0
2022-08-09 04:30:00,4.0,4.0,2.0,1.0,1.0,0.0,3.48,401.13,6.3,1040.73,2.367,0.939
2022-08-09 04:40:00,0.0,0.0,3.0,0.0,1.0,1.0,3.36,363.62,6.19,1024.38,0.424,0.512
2022-08-09 04:50:00,0.0,0.0,0.0,2.0,0.0,5.0,3.24,328.13,6.16,998.39,1.4029999999999998,1.281
2022-08-09 05:00:00,0.0,1.0,0.0,3.0,0.0,9.0,3.14,300.07,6.12,969.42,2.854,2.013
2022-08-09 05:10:00,1.0,2.0,1.0,6.0,3.0,5.0,3.06,278.62,5.95,934.4,2.997,4.586
2022-08-09 05:20:00,0.0,1.0,0.0,5.0,6.0,3.0,3.02,268.22,5.83,896.69,2.246,5.329
2022-08-09 05:30:00,0.0,2.0,0.0,4.0,3.0,2.0,3.01,265.66,5.72,862.59,1.919,3.427
2022-08-09 05:40:00,1.0,0.0,1.0,0.0,1.0,0.0,3.01,265.66,5.67,828.92,0.302,0.451
2022-08-09 05:50:00,0.0,1.0,0.0,1.0,0.0,1.0,3.05,276.0,5.51,807.73,0.698,0.5489999999999999
2022-08-09 06:00:00,0.0,0.0,0.0,1.0,0.0,1.0,3.1,289.24,5.42,789.72,0.325,0.5489999999999999
2022-08-09 06:10:00,0.0,0.0,1.0,0.0,0.0,1.0,3.15,302.82,5.41,771.84,0.267,0.061
2022-08-09 06:20:00,1.0,0.0,0.0,1.0,1.0,0.0,3.16,305.57,5.33,757.04,0.36,0.939
2022-08-09 06:30:00,0.0,1.0,0.0,0.0,0.0,0.0,3.14,300.07,5.24,742.34,0.373,0.0
2022-08-09 06:40:00,0.0,0.0,0.0,0.0,0.0,1.0,3.07,281.26,5.26,733.57,0.251,0.061
2022-08-09 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,2.99,260.57,5.2,724.83,0.0,0.0
2022-08-09 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.9,238.33,5.15,707.46,0.0,0.0
2022-08-09 07:10:00,0.0,0.0,0.0,0.0,1.0,0.0,2.82,219.47,5.1,684.51,0.125,0.451
2022-08-09 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,2.76,205.89,5.05,667.47,0.0,0.0
2022-08-09 07:30:00,0.0,0.0,0.0,1.0,0.0,0.0,2.71,194.94,4.94,659.01,0.074,0.488
2022-08-09 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,2.67,186.41,4.95,639.39,0.0,0.0
2022-08-09 07:50:00,0.0,1.0,0.0,0.0,1.0,0.0,2.63,178.1,4.86,614.46,0.498,0.451
2022-08-09 08:00:00,0.0,0.0,1.0,0.0,0.0,1.0,2.6,171.99,4.73,591.04,0.267,0.061
