time	성남시(대장동)	성남시(구미초교)	성남시(한국학중앙연구원)	성남시(궁내교)_WL	성남시(궁내교)_Q	궁내교_Ti
2022-07-13 14:00	1	2	2	1.38	21.27	1.512
2022-07-13 14:10	1	1	1	1.38	21.27	1
2022-07-13 14:20	4	1	4	1.38	21.27	2.647
2022-07-13 14:30	3	3	2	1.38	21.27	2.939
2022-07-13 14:40	3	3	4	1.4	22.63	3.061
2022-07-13 14:50	3	3	3	1.43	24.74	3
2022-07-13 15:00	2	2	1	1.47	27.71	1.939
2022-07-13 15:10	0	1	0	1.52	31.67	0.451
2022-07-13 15:20	2	1	2	1.57	35.9	1.549
2022-07-13 15:30	4	2	5	1.63	41.35	3.159
2022-07-13 15:40	5	5	4	1.69	47.19	4.939
2022-07-13 15:50	7	6	6	1.75	53.42	6.488
2022-07-13 16:00	5	4	7	1.81	59.91	4.671
2022-07-13 16:10	5	5	3	1.87	65.98	4.878
2022-07-13 16:20	4	2	4	1.97	76.69	3.098
2022-07-13 16:30	8	5	7	2.09	90.54	6.586
2022-07-13 16:40	6	6	7	2.15	97.87	6.061
2022-07-13 16:50	2	4	2	2.19	102.9	2.902
2022-07-13 17:00	2	2	1	2.23	108.05	1.939
2022-07-13 17:10	3	3	1	2.27	113.32	2.878
2022-07-13 17:20	1	2	2	2.31	118.98	1.512
2022-07-13 17:30	7	2	3	2.34	123.97	4.501
2022-07-13 17:40	4	5	1	2.38	130.8	4.268
2022-07-13 17:50	1	2	1	2.39	132.54	1.451
2022-07-13 18:00	1	1	1	2.39	132.54	1
2022-07-13 18:10	4	1	7	2.35	125.66	2.83
2022-07-13 18:20	7	1	13	2.33	122.29	4.66
2022-07-13 18:30	7	5	4	2.33	122.29	5.915
2022-07-13 18:40	5	5	4	2.36	127.36	4.939
2022-07-13 18:50	7	4	6	2.36	127.36	5.586
2022-07-13 19:00	9	5	5	2.37	129.07	6.952
2022-07-13 19:10	4	6	3	2.45	143.23	4.841
2022-07-13 19:20	1	2	0	2.51	154.39	1.39
2022-07-13 19:30	1	2	1	2.53	158.21	1.451
2022-07-13 19:40	0	0	1	2.54	160.14	0.061
2022-07-13 19:50	1	1	0	2.57	166.01	0.939
2022-07-13 20:00	1	1	1	2.61	174.01	1
2022-07-13 20:10	0	0	0	2.65	182.23	0
2022-07-13 20:20	0	1	0	2.64	180.15	0.451
2022-07-13 20:30	0	0	0	2.58	167.99	0
2022-07-13 20:40	0	0	0	2.5	152.5	0
2022-07-13 20:50	1	0	0	2.4	134.29	0.488
2022-07-13 21:00	0	0	0	2.3	117.34	0
2022-07-13 21:10	0	0	1	2.2	104.17	0.061
2022-07-13 21:20	0	1	0	2.13	95.4	0.451
2022-07-13 21:30	1	0	0	2.09	90.54	0.488
2022-07-13 21:40	1	0	0	2.04	84.64	0.488
2022-07-13 21:50	1	0	0	2	80.05	0.488
2022-07-13 22:00	0	1	0	1.96	75.59	0.451
2022-07-13 22:10	0	1	0	1.93	72.32	0.451
2022-07-13 22:20	0	1	0	1.9	69.11	0.451
2022-07-13 22:30	1	0	1	1.88	67.02	0.549
