time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2023-07-10 21:50,0,0,0,0,0,0,0.89,5.66,2.13,12.67,0,0
2023-07-10 22:00,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 22:10,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 22:20,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 22:30,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 22:40,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 22:50,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:00,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:10,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:20,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:30,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:40,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-10 23:50,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-11 0:00,0,0,0,0,0,0,0.89,5.66,2.13,12.07,0,0
2023-07-11 0:10,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 0:20,0,0,0,0,0,0,0.89,5.66,2.12,12.07,0,0
2023-07-11 0:30,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 0:40,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 0:50,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:00,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:10,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:20,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:30,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:40,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 1:50,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:00,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:10,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:20,0,0,0,0,0,0,0.89,5.66,2.11,11.48,0,0
2023-07-11 2:30,0,0,0,0,0,0,0.89,5.66,2.11,10.91,0,0
2023-07-11 2:40,0,0,0,0,0,0,0.89,5.66,2.11,10.91,0,0
