time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2025-08-13 14:40,0,0,0,0.91,7.31,0
2025-08-13 14:50,0,0,0,0.9,6.98,0
2025-08-13 15:00,0,0,1,0.9,6.98,0.061
2025-08-13 15:10,0,0,0,0.89,6.64,0
2025-08-13 15:20,0,0,1,0.89,6.64,0.061
2025-08-13 15:30,0,0,7,0.88,6.32,0.427
2025-08-13 15:40,2,0,1,0.88,6.32,1.037
2025-08-13 15:50,3,0,0,0.88,6.32,1.464
2025-08-13 16:00,0,0,0,0.88,6.32,0
2025-08-13 16:10,0,0,0,0.89,6.64,0
2025-08-13 16:20,0,0,0,0.89,6.64,0
2025-08-13 16:30,0,0,0,0.89,6.64,0
2025-08-13 16:40,0,0,0,0.89,6.64,0
2025-08-13 16:50,0,0,0,0.89,6.64,0
2025-08-13 17:00,0,0,0,0.88,6.32,0
2025-08-13 17:10,0,0,0,0.88,6.32,0
2025-08-13 17:20,0,0,0,0.87,6,0
2025-08-13 17:30,0,0,0,0.87,6,0
2025-08-13 17:40,0,0,0,0.86,5.69,0
2025-08-13 17:50,0,0,0,0.86,5.69,0
2025-08-13 18:00,0,0,0,0.86,5.69,0
2025-08-13 18:10,0,0,0,0.86,5.69,0
2025-08-13 18:20,0,0,0,0.86,5.69,0
2025-08-13 18:30,0,0,0,0.86,5.69,0
2025-08-13 18:40,6,0,8,0.86,5.69,3.416
2025-08-13 18:50,6,11,3,0.88,6.32,8.072
2025-08-13 19:00,2,1,1,1.04,12.31,1.488
2025-08-13 19:10,0,1,0,1.17,18.35,0.451
2025-08-13 19:20,0,1,0,1.22,20.94,0.451
2025-08-13 19:30,1,0,0,1.2,19.88,0.488
2025-08-13 19:40,0,0,1,1.26,23.11,0.061
2025-08-13 19:50,0,0,0,1.44,33.6,0
2025-08-13 20:00,0,1,0,1.53,39.63,0.451
2025-08-13 20:10,0,0,0,1.56,41.78,0
2025-08-13 20:20,0,0,0,1.55,41.05,0
2025-08-13 20:30,0,0,0,1.5,37.55,0
2025-08-13 20:40,0,1,0,1.45,34.24,0.451
2025-08-13 20:50,0,0,0,1.4,31.11,0
2025-08-13 21:00,0,0,0,1.37,29.33,0
2025-08-13 21:10,0,0,0,1.34,27.61,0
2025-08-13 21:20,0,0,0,1.31,25.95,0
2025-08-13 21:30,0,0,0,1.27,23.67,0
2025-08-13 21:40,0,0,0,1.24,22.01,0
2025-08-13 21:50,0,0,0,1.21,20.41,0
2025-08-13 22:00,0,0,0,1.18,18.85,0
2025-08-13 22:10,0,0,0,1.15,17.35,0
2025-08-13 22:20,0,0,0,1.13,16.38,0
2025-08-13 22:30,0,0,0,1.11,15.43,0
2025-08-13 22:40,0,0,0,1.09,14.51,0
2025-08-13 22:50,0,0,0,1.07,13.61,0
2025-08-13 23:00,0,0,0,1.05,12.74,0
2025-08-13 23:10,0,0,0,1.04,12.31,0
2025-08-13 23:20,0,0,0,1.03,11.88,0
2025-08-13 23:30,0,0,0,1.01,11.06,0
2025-08-13 23:40,0,0,0,1,10.66,0
2025-08-13 23:50,0,0,0,0.99,10.26,0
2025-08-14 0:00,0,0,0,0.98,9.87,0
2025-08-14 0:10,0,0,0,0.98,9.87,0
2025-08-14 0:20,0,0,0,0.97,9.48,0
2025-08-14 0:30,0,0,0,0.96,9.11,0
2025-08-14 0:40,0,0,0,0.96,9.11,0
2025-08-14 0:50,0,0,0,0.95,8.73,0
2025-08-14 1:00,0,0,0,0.95,8.73,0
2025-08-14 1:10,1,0,0,0.94,8.37,0.488
2025-08-14 1:20,1,0,0,0.94,8.37,0.488
2025-08-14 1:30,0,0,0,0.94,8.37,0
2025-08-14 1:40,1,0,0,0.93,8.01,0.488
2025-08-14 1:50,0,0,1,0.93,8.01,0.061
2025-08-14 2:00,1,1,2,0.92,7.66,1.061
2025-08-14 2:10,1,1,1,0.92,7.66,1
2025-08-14 2:20,1,0,1,0.92,7.66,0.549
2025-08-14 2:30,0,0,1,0.92,7.66,0.061
2025-08-14 2:40,0,1,1,0.92,7.66,0.512
2025-08-14 2:50,1,0,0,0.92,7.66,0.488
2025-08-14 3:00,0,0,0,0.92,7.66,0
2025-08-14 3:10,0,0,0,0.92,7.66,0
2025-08-14 3:20,0,0,0,0.92,7.66,0
2025-08-14 3:30,0,0,0,0.92,7.66,0
2025-08-14 3:40,0,0,1,0.92,7.66,0.061
2025-08-14 3:50,0,1,0,0.91,7.31,0.451
2025-08-14 4:00,1,0,1,0.91,7.31,0.549
2025-08-14 4:10,0,0,0,0.91,7.31,0
2025-08-14 4:20,1,0,0,0.91,7.31,0.488
2025-08-14 4:30,1,1,0,0.92,7.66,0.939
2025-08-14 4:40,1,0,1,0.93,8.01,0.549
2025-08-14 4:50,0,0,0,0.94,8.37,0
2025-08-14 5:00,3,0,8,0.95,8.73,1.952
2025-08-14 5:10,1,0,2,0.96,9.11,0.61
2025-08-14 5:20,1,5,6,0.97,9.48,3.109
2025-08-14 5:30,3,3,0,1,10.66,2.817
2025-08-14 5:40,0,11,0,1.11,15.43,4.961
2025-08-14 5:50,0,3,0,1.2,19.88,1.353
2025-08-14 6:00,0,2,0,1.22,20.94,0.902
2025-08-14 6:10,2,1,4,1.24,22.01,1.671
2025-08-14 6:20,0,1,0,1.34,27.61,0.451
2025-08-14 6:30,1,0,1,1.4,31.11,0.549
2025-08-14 6:40,0,1,0,1.4,31.11,0.451
