time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti
2022-06-29 8:20,0,0,0,0,0,0,2.17,1.12,0,0
2022-06-29 8:30,0,0,0,0,0,0,2.16,1.12,0,0
2022-06-29 8:40,0,0,0,0,0,0,2.15,1.11,0,0
2022-06-29 8:50,0,0,0,0,0,0,2.13,1.11,0,0
2022-06-29 9:00,0,0,1,0,0,0,2.12,1.1,0.016,0
2022-06-29 9:10,0,0,0,0,0,0,2.11,1.1,0,0
2022-06-29 9:20,0,0,0,0,0,0,2.1,1.09,0,0
2022-06-29 9:30,0,0,0,0,0,0,2.09,1.09,0,0
2022-06-29 9:40,0,0,0,0,0,0,2.07,1.08,0,0
2022-06-29 9:50,0,0,0,0,0,0,2.07,1.08,0,0
2022-06-29 10:00,0,0,0,0,0,0,2.06,1.07,0,0
2022-06-29 10:10,0,0,0,0,0,0,2.04,1.07,0,0
2022-06-29 10:20,0,0,0,0,0,0,2.03,1.07,0,0
2022-06-29 10:30,0,0,0,0,0,0,2.02,1.06,0,0
2022-06-29 10:40,0,0,0,0,0,0,2.01,1.06,0,0
2022-06-29 10:50,0,0,0,0,0,0,2,1.06,0,0
2022-06-29 11:00,0,0,0,0,0,0,2,1.06,0,0
2022-06-29 11:10,0,0,0,0,0,0,2,1.05,0,0
2022-06-29 11:20,0,0,0,0,0,0,1.99,1.05,0,0
2022-06-29 11:30,0,0,0,0,0,0,1.99,1.05,0,0
2022-06-29 11:40,2,0,0,0,0,0,1.99,1.05,0.322,0
2022-06-29 11:50,0,0,0,0,1,0,1.98,1.04,0.125,0.451
2022-06-29 12:00,3,0,2,0,1,0,1.98,1.04,0.64,0.451
2022-06-29 12:10,0,0,1,1,0,1,1.98,1.04,0.341,0.549
2022-06-29 12:20,0,0,0,0,0,0,1.98,1.04,0,0
2022-06-29 12:30,0,0,0,0,0,0,1.98,1.04,0,0
2022-06-29 12:40,1,0,0,1,1,0,1.97,1.04,0.36,0.939
2022-06-29 12:50,1,2,1,1,1,1,1.98,1.04,1.373,1
2022-06-29 13:00,1,0,1,0,1,0,1.99,1.04,0.302,0.451
2022-06-29 13:10,0,1,0,0,4,0,2,1.05,0.873,1.804
2022-06-29 13:20,0,0,0,5,0,1,2.01,1.06,0.621,2.501
2022-06-29 13:30,2,0,1,0,0,0,2.01,1.08,0.338,0
2022-06-29 13:40,0,1,1,0,0,0,2.02,1.11,0.389,0
2022-06-29 13:50,0,0,0,0,0,0,2.02,1.15,0,0
2022-06-29 14:00,0,0,0,0,0,0,2.03,1.2,0,0
2022-06-29 14:10,0,0,0,0,0,0,2.03,1.25,0,0
2022-06-29 14:20,0,0,0,0,0,0,2.04,1.28,0,0
2022-06-29 14:30,0,0,0,0,0,0,2.04,1.29,0,0
2022-06-29 14:40,0,0,0,0,0,0,2.05,1.29,0,0
2022-06-29 14:50,0,0,0,0,2,1,2.05,1.29,0.501,0.963
2022-06-29 15:00,0,0,0,0,0,0,2.06,1.29,0,0
2022-06-29 15:10,0,0,0,0,0,0,2.08,1.27,0,0
2022-06-29 15:20,0,0,0,0,0,0,2.09,1.26,0,0
2022-06-29 15:30,0,0,0,0,0,0,2.11,1.24,0,0
2022-06-29 15:40,0,0,0,0,0,0,2.12,1.23,0,0
2022-06-29 15:50,0,0,0,0,0,0,2.14,1.22,0,0
2022-06-29 16:00,0,0,0,0,0,0,2.16,1.22,0,0
2022-06-29 16:10,0,0,0,0,0,0,2.17,1.21,0,0
2022-06-29 16:20,0,0,0,0,0,0,2.18,1.2,0,0
2022-06-29 16:30,0,0,0,0,0,0,2.19,1.19,0,0
