time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2021-06-29 12:40:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 12:50:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 13:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 13:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 13:20:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 13:30:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 13:40:00,0.0,0.0,1.0,0.92,1.20,0.061
2021-06-29 13:50:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:20:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:30:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:40:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-29 14:50:00,1.0,0.0,0.0,0.92,1.20,0.488
2021-06-29 15:00:00,1.0,0.0,0.0,0.92,1.20,0.488
2021-06-29 15:10:00,0.0,2.0,0.0,0.92,1.20,0.902
2021-06-29 15:20:00,0.0,3.0,0.0,0.93,1.32,1.353
2021-06-29 15:30:00,0.0,1.0,0.0,0.97,1.86,0.451
2021-06-29 15:40:00,2.0,0.0,0.0,1.0,2.34,0.976
2021-06-29 15:50:00,2.0,1.0,0.0,1.05,3.31,1.427
2021-06-29 16:00:00,0.0,0.0,0.0,1.07,3.77,0.0
2021-06-29 16:10:00,0.0,0.0,0.0,1.14,5.72,0.0
2021-06-29 16:20:00,0.0,0.0,0.0,1.38,17.27,0.0
2021-06-29 16:30:00,0.0,0.0,0.0,1.47,23.65,0.0
2021-06-29 16:40:00,0.0,0.0,0.0,1.46,22.87,0.0
2021-06-29 16:50:00,0.0,0.0,0.0,1.41,19.26,0.0
2021-06-29 17:00:00,0.0,0.0,0.0,1.37,16.64,0.0
2021-06-29 17:10:00,0.0,0.0,0.0,1.34,14.84,0.0
2021-06-29 17:20:00,0.0,0.0,0.0,1.32,13.70,0.0
2021-06-29 17:30:00,0.0,0.0,0.0,1.3,12.63,0.0
2021-06-29 17:40:00,0.0,0.0,0.0,1.27,11.04,0.0
2021-06-29 17:50:00,0.0,0.0,0.0,1.24,9.59,0.0
2021-06-29 18:00:00,0.0,0.0,0.0,1.22,8.70,0.0
2021-06-29 18:10:00,0.0,0.0,0.0,1.2,7.87,0.0
2021-06-29 18:20:00,0.0,0.0,0.0,1.18,7.10,0.0
2021-06-29 18:30:00,0.0,0.0,0.0,1.17,6.74,0.0
2021-06-29 18:40:00,0.0,0.0,0.0,1.15,6.05,0.0
2021-06-29 18:50:00,0.0,0.0,0.0,1.14,5.72,0.0
2021-06-29 19:00:00,0.0,0.0,0.0,1.13,5.41,0.0
2021-06-29 19:10:00,0.0,0.0,0.0,1.12,5.11,0.0
2021-06-29 19:20:00,0.0,0.0,0.0,1.1,4.54,0.0
2021-06-29 19:30:00,0.0,0.0,0.0,1.09,4.27,0.0
2021-06-29 19:40:00,0.0,0.0,0.0,1.08,4.02,0.0
2021-06-29 19:50:00,0.0,0.0,0.0,1.07,3.77,0.0
2021-06-29 20:00:00,0.0,0.0,0.0,1.06,3.54,0.0
2021-06-29 20:10:00,0.0,0.0,0.0,1.05,3.31,0.0
2021-06-29 20:20:00,0.0,0.0,0.0,1.05,3.31,0.0
2021-06-29 20:30:00,0.0,0.0,0.0,1.04,3.10,0.0
2021-06-29 20:40:00,0.0,0.0,0.0,1.03,2.90,0.0
2021-06-29 20:50:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-06-29 21:00:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-06-29 21:10:00,0.0,0.0,0.0,1.01,2.52,0.0
2021-06-29 21:20:00,0.0,0.0,0.0,1.01,2.52,0.0
2021-06-29 21:30:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-06-29 21:40:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-06-29 21:50:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-06-29 22:00:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-06-29 22:10:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-06-29 22:20:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-06-29 22:30:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 22:40:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 22:50:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 23:00:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 23:10:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 23:20:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-06-29 23:30:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-29 23:40:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-29 23:50:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:00:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:10:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:20:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:30:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:40:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 00:50:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:00:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:10:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:20:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:30:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:40:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-06-30 01:50:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:00:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:10:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:20:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:30:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:40:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-06-30 02:50:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-06-30 03:00:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-06-30 03:10:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-06-30 03:20:00,0.0,0.0,0.0,0.94,1.44,0.0
2021-06-30 03:30:00,0.0,0.0,0.0,0.94,1.44,0.0
2021-06-30 03:40:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-06-30 03:50:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-06-30 04:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-30 04:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-06-30 04:20:00,0.0,0.0,0.0,0.91,1.08,0.0
2021-06-30 04:30:00,0.0,0.0,0.0,0.91,1.08,0.0
2021-06-30 04:40:00,0.0,0.0,0.0,0.91,1.08,0.0
2021-06-30 04:50:00,0.0,0.0,0.0,0.9,0.98,0.0
2021-06-30 05:00:00,0.0,0.0,0.0,0.9,0.98,0.0
2021-06-30 05:10:00,0.0,0.0,0.0,0.9,0.98,0.0
2021-06-30 05:20:00,0.0,0.0,0.0,0.9,0.98,0.0
2021-06-30 05:30:00,0.0,0.0,0.0,0.89,0.88,0.0
2021-06-30 05:40:00,0.0,0.0,0.0,0.89,0.88,0.0
2021-06-30 05:50:00,0.0,0.0,0.0,0.89,0.88,0.0
2021-06-30 06:00:00,0.0,0.0,0.0,0.88,0.79,0.0
2021-06-30 06:10:00,0.0,0.0,0.0,0.88,0.79,0.0
2021-06-30 06:20:00,0.0,0.0,0.0,0.88,0.79,0.0
2021-06-30 06:30:00,0.0,0.0,0.0,0.88,0.79,0.0
2021-06-30 06:40:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-06-30 06:50:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-06-30 07:00:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-06-30 07:10:00,0.0,0.0,0.0,0.87,0.71,0.0
