time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2024-08-07 10:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.78,3.46,1.88,10.53,0.161,0.0
2024-08-07 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.78,3.46,1.88,10.53,0.0,0.0
2024-08-07 11:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.79,3.72,1.88,10.53,0.161,0.0
2024-08-07 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.79,3.72,1.88,10.53,0.0,0.0
2024-08-07 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.98,1.88,10.53,0.0,0.0
2024-08-07 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.98,1.88,10.53,0.0,0.0
2024-08-07 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.81,4.24,1.88,10.53,0.0,0.0
2024-08-07 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.82,4.52,1.88,10.53,0.0,0.0
2024-08-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.82,4.52,1.88,10.53,0.0,0.0
2024-08-07 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.88,10.53,0.0,0.0
2024-08-07 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.88,10.53,0.0,0.0
2024-08-07 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 14:20:00,0.0,0.0,0.0,0.0,3.0,0.0,0.84,5.09,1.88,10.53,0.375,1.353
2024-08-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.0,0.0
2024-08-07 14:50:00,0.0,2.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.746,0.0
2024-08-07 15:00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.84,5.09,1.88,10.53,0.746,0.0
