time	성남시(대장동)	성남시(구미초교)	성남시(한국학중앙연구원)	성남시(궁내교)_WL	성남시(궁내교)_Q	궁내교_Ti
2019-09-10 15:40	0	0	0	1.09	4.27	0
2019-09-10 15:50	0	0	0	1.09	4.27	0
2019-09-10 16:00	0	0	0	1.09	4.27	0
2019-09-10 16:10	0	0	0	1.09	4.27	0
2019-09-10 16:20	0	0	0	1.09	4.27	0
2019-09-10 16:30	0	0	0	1.09	4.27	0
2019-09-10 16:40	0	0	0	1.09	4.27	0
2019-09-10 16:50	0	0	0	1.09	4.27	0
2019-09-10 17:00	0	0	0	1.09	4.27	0
2019-09-10 17:10	0	0	0	1.09	4.27	0
2019-09-10 17:20	0	0	0	1.09	4.27	0
2019-09-10 17:30	0	0	0	1.09	4.27	0
2019-09-10 17:40	0	0	0	1.09	4.27	0
2019-09-10 17:50	0	0	0	1.09	4.27	0
2019-09-10 18:00	0	0	0	1.09	4.27	0
2019-09-10 18:10	0	0	0	1.09	4.27	0
2019-09-10 18:20	0	0	0	1.09	4.27	0
2019-09-10 18:30	0	0	0	1.09	4.27	0
2019-09-10 18:40	0	0	0	1.08	4.02	0
2019-09-10 18:50	0	0	0	1.08	4.02	0
2019-09-10 19:00	0	0	0	1.08	4.02	0
2019-09-10 19:10	0	0	0	1.07	3.77	0
2019-09-10 19:20	0	0	0	1.07	3.77	0
2019-09-10 19:30	0	0	1	1.07	3.77	0.061
2019-09-10 19:40	0	0	0	1.07	3.77	0
2019-09-10 19:50	0	0	0	1.07	3.77	0
2019-09-10 20:00	0	0	0	1.06	3.54	0
2019-09-10 20:10	0	0	0	1.06	3.54	0
2019-09-10 20:20	0	0	0	1.06	3.54	0
2019-09-10 20:30	0	0	0	1.06	3.54	0
2019-09-10 20:40	0	0	0	1.06	3.54	0
2019-09-10 20:50	0	0	0	1.06	3.54	0
2019-09-10 21:00	0	0	0	1.06	3.54	0
2019-09-10 21:10	0	0	0	1.06	3.54	0
2019-09-10 21:20	0	0	0	1.06	3.54	0
2019-09-10 21:30	0	0	0	1.06	3.54	0
2019-09-10 21:40	1	2	0	1.06	3.54	1.39
2019-09-10 21:50	4	3	5	1.06	3.54	3.61
2019-09-10 22:00	6	3	6	1.07	3.77	4.647
2019-09-10 22:10	9	8	9	1.12	5.11	8.549
2019-09-10 22:20	8	9	1	1.21	8.28	8.024
2019-09-10 22:30	7	6	4	1.34	14.84	6.366
2019-09-10 22:40	5	6	5	1.47	23.65	5.451
2019-09-10 22:50	1	3	2	1.58	33.22	1.963
2019-09-10 23:00	1	2	1	1.7	46.1	1.451
2019-09-10 23:10	0	1	0	1.85	63.93	0.451
2019-09-10 23:20	1	0	1	1.97	76.69	0.549
2019-09-10 23:30	0	0	0	2.04	84.64	0
2019-09-10 23:40	0	0	0	2.05	85.81	0
2019-09-10 23:50	0	1	0	2.02	82.33	0.451
2019-09-11 0:00	0	0	0	1.93	72.32	0
2019-09-11 0:10	0	0	1	1.84	62.91	0.061
2019-09-11 0:20	0	0	0	1.77	54.87	0
2019-09-11 0:30	1	0	1	1.71	47.29	0.549
2019-09-11 0:40	0	0	0	1.67	42.63	0
2019-09-11 0:50	1	0	0	1.62	37.22	0.488
2019-09-11 1:00	0	1	1	1.59	34.19	0.512
2019-09-11 1:10	1	0	0	1.55	30.4	0.488
2019-09-11 1:20	0	0	1	1.52	27.74	0.061
2019-09-11 1:30	1	0	0	1.49	25.23	0.488
2019-09-11 1:40	0	1	1	1.46	22.87	0.512
2019-09-11 1:50	1	0	0	1.44	21.38	0.488
2019-09-11 2:00	0	1	0	1.43	20.66	0.451
2019-09-11 2:10	0	1	0	1.42	19.95	0.451
2019-09-11 2:20	0	0	0	1.42	19.95	0
2019-09-11 2:30	0	1	0	1.41	19.26	0.451
2019-09-11 2:40	0	0	0	1.41	19.26	0
2019-09-11 2:50	0	0	0	1.4	18.58	0
2019-09-11 3:00	1	0	0	1.4	18.58	0.488
2019-09-11 3:10	0	0	0	1.4	18.58	0
2019-09-11 3:20	0	0	0	1.39	17.92	0
2019-09-11 3:30	0	1	0	1.39	17.92	0.451
2019-09-11 3:40	0	0	0	1.39	17.92	0
2019-09-11 3:50	0	0	0	1.38	17.27	0
2019-09-11 4:00	0	0	1	1.37	16.64	0.061
2019-09-11 4:10	0	0	0	1.37	16.64	0
2019-09-11 4:20	0	0	0	1.36	16.03	0
2019-09-11 4:30	0	0	0	1.35	15.42	0
2019-09-11 4:40	0	0	1	1.34	14.84	0.061
2019-09-11 4:50	1	0	0	1.33	14.26	0.488
2019-09-11 5:00	0	1	0	1.32	13.7	0.451
2019-09-11 5:10	0	0	0	1.31	13.16	0
2019-09-11 5:20	0	0	0	1.31	13.16	0
2019-09-11 5:30	0	1	0	1.3	12.63	0.451
2019-09-11 5:40	0	0	0	1.3	12.63	0
2019-09-11 5:50	0	0	0	1.29	12.08	0
2019-09-11 6:00	0	0	0	1.29	12.08	0
2019-09-11 6:10	0	0	0	1.29	12.08	0
2019-09-11 6:20	0	0	0	1.28	11.55	0
2019-09-11 6:30	0	0	0	1.28	11.55	0
2019-09-11 6:40	0	0	1	1.28	11.55	0.061
2019-09-11 6:50	0	1	0	1.28	11.55	0.451
2019-09-11 7:00	0	0	0	1.28	11.55	0
2019-09-11 7:10	0	0	0	1.28	11.55	0
2019-09-11 7:20	1	0	0	1.28	11.55	0.488
2019-09-11 7:30	0	0	0	1.27	11.04	0
2019-09-11 7:40	0	0	0	1.27	11.04	0
2019-09-11 7:50	0	0	0	1.27	11.04	0
2019-09-11 8:00	0	0	0	1.27	11.04	0
2019-09-11 8:10	0	0	0	1.27	11.04	0
2019-09-11 8:20	0	0	0	1.26	10.54	0
2019-09-11 8:30	0	0	0	1.26	10.54	0
2019-09-11 8:40	0	0	0	1.26	10.54	0
2019-09-11 8:50	0	0	0	1.25	10.06	0
2019-09-11 9:00	0	0	0	1.25	10.06	0
2019-09-11 9:10	0	0	0	1.25	10.06	0
2019-09-11 9:20	0	0	0	1.25	10.06	0
2019-09-11 9:30	0	0	0	1.24	9.59	0
2019-09-11 9:40	0	0	0	1.24	9.59	0
2019-09-11 9:50	0	0	0	1.24	9.59	0
2019-09-11 10:00	0	0	0	1.24	9.59	0
2019-09-11 10:10	0	0	0	1.24	9.59	0
2019-09-11 10:20	0	0	0	1.24	9.59	0
2019-09-11 10:30	0	0	0	1.24	9.59	0
2019-09-11 10:40	0	0	0	1.24	9.59	0
2019-09-11 10:50	0	0	0	1.24	9.59	0
2019-09-11 11:00	0	0	0	1.23	9.14	0
2019-09-11 11:10	0	0	0	1.23	9.14	0
2019-09-11 11:20	0	0	0	1.23	9.14	0
2019-09-11 11:30	0	0	0	1.23	9.14	0
2019-09-11 11:40	0	0	0	1.23	9.14	0
2019-09-11 11:50	0	0	0	1.23	9.14	0
2019-09-11 12:00	0	0	0	1.23	9.14	0
2019-09-11 12:10	0	0	0	1.22	8.7	0
2019-09-11 12:20	0	0	0	1.22	8.7	0
2019-09-11 12:30	0	0	0	1.22	8.7	0
2019-09-11 12:40	0	0	0	1.22	8.7	0
2019-09-11 12:50	0	0	0	1.22	8.7	0
2019-09-11 13:00	0	0	0	1.22	8.7	0
2019-09-11 13:10	0	0	0	1.22	8.7	0
2019-09-11 13:20	0	0	0	1.22	8.7	0
2019-09-11 13:30	0	0	0	1.22	8.7	0
2019-09-11 13:40	0	0	0	1.21	8.28	0
2019-09-11 13:50	0	0	0	1.21	8.28	0
2019-09-11 14:00	0	0	0	1.21	8.28	0
2019-09-11 14:10	0	0	0	1.21	8.28	0
2019-09-11 14:20	0	0	0	1.21	8.28	0
2019-09-11 14:30	0	0	0	1.21	8.28	0
2019-09-11 14:40	0	0	0	1.21	8.28	0
2019-09-11 14:50	0	0	0	1.21	8.28	0
2019-09-11 15:00	0	0	0	1.21	8.28	0
2019-09-11 15:10	0	0	0	1.2	7.87	0
2019-09-11 15:20	0	0	0	1.2	7.87	0
2019-09-11 15:30	0	0	0	1.2	7.87	0
2019-09-11 15:40	0	0	0	1.2	7.87	0
2019-09-11 15:50	0	0	0	1.2	7.87	0
2019-09-11 16:00	0	0	0	1.2	7.87	0
