time	성남시(대장동)	성남시(구미초교)	성남시(한국학중앙연구원)	성남시(궁내교)_WL	궁내교_Ti
2023-07-13 5:00	0	0	0	0.93	0
2023-07-13 5:10	0	0	0	0.93	0
2023-07-13 5:20	0	0	0	0.93	0
2023-07-13 5:30	0	0	0	0.93	0
2023-07-13 5:40	0	0	0	0.93	0
2023-07-13 5:50	0	0	0	0.93	0
2023-07-13 6:00	0	0	0	0.93	0
2023-07-13 6:10	0	0	0	0.92	0
2023-07-13 6:20	0	0	0	0.92	0
2023-07-13 6:30	0	0	0	0.92	0
2023-07-13 6:40	0	0	0	0.92	0
2023-07-13 6:50	0	0	0	0.92	0
2023-07-13 7:00	0	0	0	0.92	0
2023-07-13 7:10	0	0	0	0.92	0
2023-07-13 7:20	0	0	0	0.92	0
2023-07-13 7:30	0	0	0	0.92	0
2023-07-13 7:40	0	0	0	0.92	0
2023-07-13 7:50	0	0	0	0.91	0
2023-07-13 8:00	0	0	0	0.91	0
2023-07-13 8:10	0	0	0	0.91	0
2023-07-13 8:20	0	0	0	0.91	0
2023-07-13 8:30	0	0	0	0.91	0
2023-07-13 8:40	0	0	0	0.91	0
2023-07-13 8:50	0	0	0	0.91	0
2023-07-13 9:00	0	0	0	0.91	0
2023-07-13 9:10	0	0	0	0.91	0
2023-07-13 9:20	0	0	0	0.91	0
2023-07-13 9:30	0	0	0	0.91	0
2023-07-13 9:40	0	0	0	0.91	0
2023-07-13 9:50	0	1	1	0.91	0.512
2023-07-13 10:00	1	0	0	0.92	0.488
2023-07-13 10:10	0	1	0	0.92	0.451
2023-07-13 10:20	4	8	2	0.93	5.682
2023-07-13 10:30	5	7	8	0.92	6.085
2023-07-13 10:40	3	3	5	0.92	3.122
2023-07-13 10:50	3	2	2	1	2.488
2023-07-13 11:00	5	1	3	1.53	3.074
2023-07-13 11:10	7	3	1	1.69	4.83
2023-07-13 11:20	1	2	2	1.84	1.512
2023-07-13 11:30	2	1	1	1.88	1.488
2023-07-13 11:40	4	1	3	1.88	2.586
2023-07-13 11:50	2	2	1	1.87	1.939
