time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2023-06-29 14:40,5,5,3,1.17,17.91,4.878
2023-06-29 14:50,8,4,2,1.24,21.78,5.83
2023-06-29 15:00,5,5,5,1.38,29.92,5
2023-06-29 15:10,2,3,3,1.5,37.55,2.512
2023-06-29 15:20,4,5,4,1.63,47.07,4.451
2023-06-29 15:30,5,4,3,1.79,60.68,4.427
2023-06-29 15:40,2,3,1,1.96,77.57,2.39
2023-06-29 15:50,0,0,0,2.07,89.9,0
2023-06-29 16:00,0,0,0,2.1,93.47,0
2023-06-29 16:10,0,0,0,2.1,93.47,0
2023-06-29 16:20,0,1,0,2.09,92.27,0.451
2023-06-29 16:30,0,0,0,2,81.92,0
2023-06-29 16:40,0,0,0,1.89,70.3,0
2023-06-29 16:50,0,0,0,1.77,58.86,0
2023-06-29 17:00,0,0,0,1.67,50.27,0
2023-06-29 17:10,0,0,0,1.58,43.25,0
2023-06-29 17:20,0,0,0,1.49,36.87,0
2023-06-29 17:30,0,0,0,1.41,31.72,0
2023-06-29 17:40,0,0,0,1.36,28.75,0
2023-06-29 17:50,0,0,0,1.32,26.5,0
2023-06-29 18:00,0,0,0,1.29,24.73,0
2023-06-29 18:10,0,0,0,1.26,22.95,0
2023-06-29 18:20,0,0,0,1.23,21.21,0
2023-06-29 18:30,0,0,0,1.2,19.53,0
2023-06-29 18:40,0,0,0,1.17,17.91,0
2023-06-29 18:50,0,0,0,1.15,16.86,0
2023-06-29 19:00,0,0,0,1.13,15.84,0
2023-06-29 19:10,0,0,0,1.11,14.84,0
2023-06-29 19:20,0,0,0,1.1,14.35,0
2023-06-29 19:30,0,0,0,1.08,13.39,0
2023-06-29 19:40,0,0,0,1.07,12.92,0
2023-06-29 19:50,0,0,0,1.06,12.45,0
2023-06-29 20:00,0,0,0,1.05,12,0
2023-06-29 20:10,0,0,0,1.04,11.55,0
2023-06-29 20:20,0,0,0,1.03,11.1,0
2023-06-29 20:30,0,0,0,1.03,11.1,0
2023-06-29 20:40,1,0,0,1.02,10.67,0.488
2023-06-29 20:50,0,0,0,1.01,10.24,0
2023-06-29 21:00,0,0,0,1.01,10.24,0
2023-06-29 21:10,0,0,0,1,9.82,0
2023-06-29 21:20,0,0,0,1,9.82,0
2023-06-29 21:30,0,0,0,0.99,9.4,0
2023-06-29 21:40,0,0,0,0.99,9.4,0
2023-06-29 21:50,0,0,0,0.99,9.4,0
2023-06-29 22:00,0,0,0,0.99,9.4,0
2023-06-29 22:10,0,0,0,0.98,8.99,0
2023-06-29 22:20,0,0,0,0.98,8.99,0
2023-06-29 22:30,0,0,0,0.98,8.99,0
2023-06-29 22:40,0,0,0,0.97,8.59,0
2023-06-29 22:50,0,0,0,0.97,8.59,0
2023-06-29 23:00,0,0,0,0.97,8.59,0
2023-06-29 23:10,0,0,0,0.97,8.59,0
2023-06-29 23:20,0,0,0,0.96,8.2,0
2023-06-29 23:30,0,0,1,0.96,8.2,0.061
2023-06-29 23:40,0,0,0,0.96,8.2,0
2023-06-29 23:50,0,0,0,0.96,8.2,0
2023-06-30 0:00,0,0,0,0.96,8.2,0
2023-06-30 0:10,0,0,0,0.95,7.82,0
2023-06-30 0:20,0,0,0,0.95,7.82,0
2023-06-30 0:30,0,0,0,0.95,7.82,0
2023-06-30 0:40,0,0,0,0.94,7.44,0
2023-06-30 0:50,0,0,0,0.94,7.44,0
2023-06-30 1:00,0,0,0,0.93,7.07,0
2023-06-30 1:10,0,0,0,0.93,7.07,0
2023-06-30 1:20,0,0,0,0.93,7.07,0
2023-06-30 1:30,0,0,0,0.92,6.7,0
2023-06-30 1:40,0,0,0,0.92,6.7,0
2023-06-30 1:50,0,0,0,0.92,6.7,0
2023-06-30 2:00,0,0,0,0.92,6.7,0
2023-06-30 2:10,0,0,0,0.92,6.7,0
2023-06-30 2:20,0,0,0,0.92,6.7,0
2023-06-30 2:30,0,0,0,0.92,6.7,0
2023-06-30 2:40,0,0,0,0.92,6.7,0
2023-06-30 2:50,0,0,0,0.91,6.35,0
2023-06-30 3:00,0,0,0,0.91,6.35,0
2023-06-30 3:10,0,0,0,0.91,6.35,0
2023-06-30 3:20,0,0,0,0.91,6.35,0
2023-06-30 3:30,0,0,0,0.91,6.35,0
