time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-07-13 14:00:00,2.0,1.0,2.0,1.0,2.0,2.0,1.38,21.27,2.74,75.67,1.553,1.512
2022-07-13 14:10:00,2.0,1.0,2.0,1.0,1.0,1.0,1.38,21.27,2.74,75.67,1.177,1.0
2022-07-13 14:20:00,1.0,1.0,1.0,4.0,1.0,4.0,1.38,21.27,2.74,76.95,1.975,2.647
2022-07-13 14:30:00,4.0,3.0,2.0,3.0,3.0,2.0,1.38,21.27,2.75,78.23,2.894,2.939
2022-07-13 14:40:00,5.0,3.0,3.0,3.0,3.0,4.0,1.4,22.63,2.77,83.49,3.5730000000000004,3.061
2022-07-13 14:50:00,3.0,4.0,6.0,3.0,3.0,3.0,1.43,24.74,2.81,91.76,3.4210000000000003,3.0
2022-07-13 15:00:00,3.0,3.0,4.0,2.0,2.0,1.0,1.47,27.71,2.89,100.5,2.3150000000000004,1.939
2022-07-13 15:10:00,1.0,1.0,2.0,0.0,1.0,0.0,1.52,31.67,2.95,111.29,0.6910000000000001,0.451
2022-07-13 15:20:00,2.0,1.0,1.0,2.0,1.0,2.0,1.57,35.9,3.05,122.73,1.486,1.549
2022-07-13 15:30:00,3.0,2.0,2.0,4.0,2.0,5.0,1.63,41.35,3.11,134.84,3.062,3.1590000000000003
2022-07-13 15:40:00,4.0,5.0,5.0,5.0,5.0,4.0,1.69,47.19,3.14,145.76,4.588,4.939
2022-07-13 15:50:00,6.0,5.0,4.0,7.0,6.0,6.0,1.75,53.42,3.25,153.33,5.6690000000000005,6.488
2022-07-13 16:00:00,1.0,2.0,3.0,5.0,4.0,7.0,1.81,59.91,3.31,165.09,3.5820000000000003,4.671
2022-07-13 16:10:00,6.0,6.0,2.0,5.0,5.0,3.0,1.87,65.98,3.43,183.72,4.984,4.878
2022-07-13 16:20:00,1.0,2.0,4.0,4.0,2.0,4.0,1.97,76.69,3.57,212.71,2.521,3.098
