time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2017-07-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.20,2.27,51.69,0.0,0.0
2017-07-02 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.20,2.24,48.26,0.0,0.0
2017-07-02 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,2.21,44.91,0.0,0.0
2017-07-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,2.18,41.64,0.0,0.0
2017-07-02 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,2.15,38.45,0.0,0.0
2017-07-02 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,2.13,36.37,0.0,0.0
2017-07-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.1,33.33,0.0,0.0
2017-07-02 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.08,31.35,0.0,0.0
2017-07-02 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.06,29.41,0.0,0.0
2017-07-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.04,27.51,0.0,0.0
2017-07-02 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.03,26.58,0.0,0.0
2017-07-02 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.01,23.55,0.0,0.0
2017-07-02 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,2.0,22.12,0.0,0.0
2017-07-02 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.99,20.75,0.0,0.0
2017-07-02 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.98,19.44,0.0,0.0
2017-07-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.97,18.19,0.0,0.0
2017-07-02 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.96,16.99,0.0,0.0
2017-07-02 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.95,15.84,0.0,0.0
2017-07-02 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.95,15.84,0.0,0.0
2017-07-02 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.94,14.75,0.0,0.0
2017-07-02 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.93,13.7,0.0,0.0
2017-07-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.92,12.71,0.0,0.0
2017-07-02 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.92,12.71,0.0,0.0
2017-07-02 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.91,11.77,0.0,0.0
2017-07-02 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.91,11.77,0.0,0.0
2017-07-02 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.9,10.87,0.0,0.0
2017-07-02 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.9,10.87,0.0,0.0
2017-07-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.89,10.02,0.0,0.0
2017-07-02 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.89,10.02,0.0,0.0
2017-07-02 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.89,10.02,0.0,0.0
2017-07-02 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.88,9.22,0.0,0.0
2017-07-02 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.88,9.22,0.0,0.0
2017-07-02 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.88,9.22,0.0,0.0
2017-07-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.87,8.46,0.0,0.0
2017-07-02 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.56,1.87,8.46,0.0,0.0
