time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2018-07-02 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.84,2.5,55.61,0.0,0.0
2018-07-02 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.84,2.49,55.61,0.0,0.0
2018-07-02 11:00:00,2.0,0.0,0.0,1.0,0.0,1.0,1.34,14.84,2.49,55.61,0.647,0.5489999999999999
2018-07-02 11:10:00,4.0,1.0,1.0,0.0,0.0,0.0,1.34,14.84,2.48,57.08,1.033,0.0
2018-07-02 11:20:00,1.0,0.0,0.0,0.0,0.0,0.0,1.34,14.84,2.48,60.09,0.161,0.0
2018-07-02 11:30:00,0.0,0.0,0.0,1.0,0.0,1.0,1.34,14.84,2.48,61.62,0.325,0.5489999999999999
2018-07-02 11:40:00,0.0,1.0,1.0,1.0,2.0,1.0,1.34,14.84,2.48,61.62,0.964,1.451
2018-07-02 11:50:00,1.0,3.0,2.0,2.0,1.0,2.0,1.34,14.84,2.48,63.17,2.087,1.549
2018-07-02 12:00:00,5.0,4.0,3.0,1.0,1.0,0.0,1.35,15.42,2.49,63.17,2.544,0.939
2018-07-02 12:10:00,0.0,1.0,2.0,0.0,1.0,0.0,1.35,15.42,2.49,63.17,0.53,0.451
2018-07-02 12:20:00,0.0,0.0,0.0,1.0,3.0,0.0,1.35,15.42,2.5,66.34,0.449,1.841
2018-07-02 12:30:00,0.0,0.0,0.0,1.0,4.0,0.0,1.35,15.42,2.51,69.59,0.574,2.292
2018-07-02 12:40:00,0.0,0.0,1.0,2.0,4.0,1.0,1.36,16.03,2.54,74.62,0.915,2.841
2018-07-02 12:50:00,0.0,0.0,2.0,0.0,1.0,0.0,1.37,16.64,2.57,83.41,0.157,0.451
2018-07-02 13:00:00,0.0,0.0,2.0,0.0,0.0,0.0,1.41,19.26,2.66,90.82,0.032,0.0
2018-07-02 13:10:00,0.0,0.0,2.0,0.0,0.0,0.0,1.55,30.4,2.78,96.6,0.032,0.0
2018-07-02 13:20:00,0.0,0.0,1.0,1.0,2.0,0.0,1.77,54.87,2.79,100.56,0.34,1.39
2018-07-02 13:30:00,0.0,0.0,1.0,0.0,0.0,0.0,1.91,70.17,2.8,100.56,0.016,0.0
2018-07-02 13:40:00,0.0,0.0,1.0,0.0,0.0,0.0,1.97,76.69,2.79,98.57,0.016,0.0
2018-07-02 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.98,77.81,2.78,94.66,0.0,0.0
2018-07-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.94,73.4,2.78,92.73,0.0,0.0
2018-07-02 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.87,65.98,2.77,88.94,0.0,0.0
2018-07-02 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.81,59.91,2.77,88.94,0.0,0.0
2018-07-02 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.75,52.26,2.78,98.57,0.0,0.0
2018-07-02 14:40:00,1.0,0.0,0.0,0.0,0.0,0.0,1.69,44.92,2.83,115.08,0.161,0.0
2018-07-02 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.64,39.32,2.93,132.95,0.0,0.0
2018-07-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.59,34.19,3.0,142.39,0.0,0.0
2018-07-02 15:10:00,0.0,0.0,0.0,0.0,6.0,0.0,1.55,30.4,3.03,144.81,0.75,2.706
2018-07-02 15:20:00,0.0,0.0,0.0,0.0,3.0,0.0,1.52,27.74,3.03,142.39,0.375,1.353
2018-07-02 15:30:00,0.0,0.0,1.0,0.0,0.0,0.0,1.5,26.05,3.01,137.63,0.016,0.0
2018-07-02 15:40:00,0.0,4.0,3.0,0.0,4.0,0.0,1.5,26.05,2.97,130.64,2.04,1.804
2018-07-02 15:50:00,0.0,0.0,0.0,0.0,3.0,0.0,1.52,27.74,2.93,121.62,0.375,1.353
2018-07-02 16:00:00,2.0,0.0,1.0,0.0,2.0,0.0,1.6,35.18,2.89,112.94,0.5880000000000001,0.902
2018-07-02 16:10:00,0.0,1.0,2.0,0.0,0.0,0.0,1.65,40.41,2.84,106.66,0.405,0.0
2018-07-02 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.67,42.63,2.8,100.56,0.0,0.0
2018-07-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.67,42.63,2.79,96.6,0.0,0.0
