time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2025-09-19 22:30,0,1,0,1,0,0,0.97,9.48,2.06,21.25,0.447,0.488,0.447,0.488
2025-09-19 22:40,0,0,0,0,1,1,0.97,9.48,2.06,21.25,0.376,0.512,0.823,1
2025-09-19 22:50,1,0,1,0,0,0,0.97,9.48,2.06,21.25,0.177,0,1,1
2025-09-19 23:00,0,0,0,0,0,0,0.98,9.87,2.06,21.25,0,0,1,1
2025-09-19 23:10,0,0,0,0,0,0,0.98,9.87,2.06,21.25,0,0,1,1
2025-09-19 23:20,0,0,0,1,0,0,0.98,9.87,2.06,21.25,0.074,0.488,1.074,1.488
2025-09-19 23:30,0,1,0,1,1,1,0.98,9.87,2.06,21.25,0.823,1,1.897,2.488
2025-09-19 23:40,2,1,1,2,1,2,0.99,10.26,2.06,21.25,1.486,1.549,3.383,4.037
2025-09-19 23:50,0,1,2,0,1,0,1,10.66,2.06,21.25,0.53,0.451,3.913,4.488
2025-09-20 0:00,2,1,1,3,1,2,1.02,11.47,2.06,21.25,1.56,2.037,5.473,6.525
2025-09-20 0:10,3,3,3,3,1,2,1.05,12.74,2.07,21.88,2.499,2.037,7.972,8.562
2025-09-20 0:20,1,2,1,1,3,2,1.09,14.51,2.07,21.88,1.874,1.963,9.846,10.525
2025-09-20 0:30,0,1,2,1,2,1,1.12,15.9,2.08,22.52,0.98,1.451,10.826,11.976
2025-09-20 0:40,0,2,1,1,1,1,1.16,17.85,2.08,22.52,1.212,1,12.038,12.976
2025-09-20 0:50,1,2,3,1,1,1,1.2,19.88,2.1,23.81,1.405,1,13.443,13.976
2025-09-20 1:00,1,1,1,1,1,1,1.24,22.01,2.12,25.14,1,1,14.443,14.976
2025-09-20 1:10,1,1,1,1,1,1,1.3,25.37,2.15,27.18,1,1,15.443,15.976
2025-09-20 1:20,1,1,1,1,2,2,1.36,28.75,2.21,31.44,1.376,1.512,16.819,17.488
2025-09-20 1:30,1,3,2,5,4,2,1.4,31.11,2.28,36.72,2.684,4.366,19.503,21.854
2025-09-20 1:40,2,2,3,4,3,5,1.46,34.88,2.54,63.07,3.042,3.61,22.545,25.464
2025-09-20 1:50,3,4,3,4,6,4,1.52,38.93,2.79,95.11,4.073,4.902,26.618,30.366
2025-09-20 2:00,5,3,4,4,4,4,1.6,44.75,2.83,100.64,3.788,4,30.406,34.366
