time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2018-05-17 4:10,0,1,1,0,1,0,1.21,8.28,1.99,22.41,0.514,0.451,0.514,0.451
2018-05-17 4:20,0,0,0,1,0,1,1.23,9.14,2.01,27.98,0.325,0.549,0.839,1
2018-05-17 4:30,0,0,0,0,0,0,1.23,9.14,2.03,41.13,0,0,0.839,1
2018-05-17 4:40,0,0,0,0,0,0,1.23,9.14,2.06,52.77,0,0,0.839,1
2018-05-17 4:50,0,0,0,0,1,0,1.27,11.04,2.11,63.17,0.125,0.451,0.964,1.451
2018-05-17 5:00,1,0,0,0,0,0,1.3,12.63,2.18,81.61,0.161,0,1.125,1.451
2018-05-17 5:10,0,0,1,0,0,0,1.33,14.26,2.26,83.41,0.016,0,1.141,1.451
2018-05-17 5:20,0,0,0,0,0,0,1.34,14.84,2.33,90.82,0,0,1.141,1.451
2018-05-17 5:30,0,1,0,0,0,0,1.34,14.84,2.4,90.82,0.373,0,1.514,1.451
2018-05-17 5:40,0,0,0,0,0,0,1.34,14.84,2.44,92.73,0,0,1.514,1.451
2018-05-17 5:50,0,0,0,0,1,0,1.34,14.84,2.48,96.6,0.125,0.451,1.639,1.902
2018-05-17 6:00,0,0,1,0,0,0,1.33,14.26,2.5,90.82,0.016,0,1.655,1.902
2018-05-17 6:10,0,0,0,1,0,0,1.31,13.16,2.51,78.07,0.074,0.488,1.729,2.39
2018-05-17 6:20,0,0,0,0,0,1,1.3,12.63,2.51,67.95,0.251,0.061,1.98,2.451
2018-05-17 6:30,0,0,0,0,0,0,1.28,11.55,2.51,60.09,0,0,1.98,2.451
2018-05-17 6:40,0,0,0,0,0,0,1.27,11.04,2.51,57.08,0,0,1.98,2.451
2018-05-17 6:50,0,0,0,0,0,0,1.26,10.54,2.5,60.09,0,0,1.98,2.451
2018-05-17 7:00,0,0,0,0,0,0,1.25,10.06,2.48,60.09,0,0,1.98,2.451
2018-05-17 7:10,1,1,0,0,0,0,1.24,9.59,2.47,57.08,0.534,0,2.514,2.451
2018-05-17 7:20,1,0,0,0,1,1,1.23,9.14,2.46,57.08,0.537,0.512,3.051,2.963
2018-05-17 7:30,2,1,1,1,0,2,1.22,8.7,2.44,51.4,1.287,0.61,4.338,3.573
2018-05-17 7:40,2,2,4,1,1,1,1.22,8.7,2.43,48.72,1.582,1,5.92,4.573
2018-05-17 7:50,0,1,1,0,1,1,1.21,8.28,2.42,46.11,0.765,0.512,6.685,5.085
2018-05-17 8:00,1,2,1,1,1,0,1.21,8.28,2.41,48.72,1.122,0.939,7.807,6.024
2018-05-17 8:10,0,0,1,0,1,0,1.21,8.28,2.4,46.11,0.141,0.451,7.948,6.475
2018-05-17 8:20,0,0,0,0,0,0,1.21,8.28,2.39,46.11,0,0,7.948,6.475
2018-05-17 8:30,2,1,0,4,3,7,1.21,8.28,2.38,46.11,3.123,3.732,11.071,10.207
2018-05-17 8:40,7,11,8,3,7,4,1.22,8.7,2.37,52.77,7.459,4.865,18.53,15.072
2018-05-17 8:50,2,2,3,0,0,1,1.26,10.54,2.37,63.17,1.367,0.061,19.897,15.133
2018-05-17 9:00,0,0,0,0,0,0,1.31,13.16,2.37,63.17,0,0,19.897,15.133
2018-05-17 9:10,0,0,0,1,0,1,1.33,14.26,2.38,90.82,0.325,0.549,20.222,15.682
2018-05-17 9:20,1,2,1,3,2,2,1.36,16.03,2.41,92.73,1.897,2.488,22.119,18.17
2018-05-17 9:30,1,2,1,1,2,0,1.4,18.58,2.46,119.42,1.247,1.39,23.366,19.56
2018-05-17 9:40,0,0,1,0,1,1,1.42,19.95,2.52,142.39,0.392,0.512,23.758,20.072
2018-05-17 9:50,0,0,0,0,0,0,1.43,20.66,2.63,149.71,0,0,23.758,20.072
2018-05-17 10:00,0,0,0,0,0,0,1.43,20.66,2.76,160.29,0,0,23.758,20.072
2018-05-17 10:10,0,0,0,1,0,0,1.43,20.66,2.76,160.29,0.074,0.488,23.832,20.56
2018-05-17 10:20,0,0,0,0,0,0,1.43,20.66,2.77,166.46,0,0,23.832,20.56
2018-05-17 10:30,0,0,0,0,0,0,1.42,19.95,2.77,166.46,0,0,23.832,20.56
2018-05-17 10:40,0,0,0,0,0,0,1.41,19.26,2.78,172.7,0,0,23.832,20.56
2018-05-17 10:50,0,0,0,0,0,0,1.39,17.92,2.78,172.7,0,0,23.832,20.56
2018-05-17 11:00,0,0,0,0,0,0,1.38,17.27,2.79,172.7,0,0,23.832,20.56
2018-05-17 11:10,0,0,0,0,0,0,1.38,17.27,2.79,166.46,0,0,23.832,20.56
2018-05-17 11:20,0,0,0,0,0,0,1.38,17.27,2.78,170.61,0,0,23.832,20.56
2018-05-17 11:30,0,0,0,0,0,0,1.37,16.64,2.78,170.61,0,0,23.832,20.56
2018-05-17 11:40,1,0,0,0,0,0,1.36,16.03,2.78,156.22,0.161,0,23.993,20.56
2018-05-17 11:50,0,0,0,0,0,0,1.35,15.42,2.78,137.63,0,0,23.993,20.56
2018-05-17 12:00,0,0,0,0,0,0,1.34,14.84,2.77,112.94,0,0,23.993,20.56
2018-05-17 12:10,0,0,0,0,0,0,1.34,14.84,2.76,100.56,0,0,23.993,20.56
2018-05-17 12:20,0,0,0,0,0,0,1.33,14.26,2.75,100.56,0,0,23.993,20.56
2018-05-17 12:30,0,0,0,0,0,0,1.32,13.7,2.72,96.6,0,0,23.993,20.56
2018-05-17 12:40,0,0,0,0,0,0,1.31,13.16,2.7,87.08,0,0,23.993,20.56
2018-05-17 12:50,0,0,0,0,0,0,1.29,12.08,2.67,76.33,0,0,23.993,20.56
2018-05-17 13:00,0,0,0,0,0,0,1.28,11.55,2.64,64.74,0,0,23.993,20.56
2018-05-17 13:10,0,0,0,0,0,0,1.27,11.04,2.61,60.09,0,0,23.993,20.56
2018-05-17 13:20,0,0,0,0,0,0,1.26,10.54,2.58,57.08,0,0,23.993,20.56
2018-05-17 13:30,0,0,0,0,0,0,1.26,10.54,2.55,54.16,0,0,23.993,20.56
2018-05-17 13:40,0,0,0,0,0,0,1.25,10.06,2.52,51.4,0,0,23.993,20.56
2018-05-17 13:50,0,0,0,0,0,0,1.24,9.59,2.49,48.72,0,0,23.993,20.56
2018-05-17 14:00,0,0,0,0,0,0,1.24,9.59,2.46,47.41,0,0,23.993,20.56
2018-05-17 14:10,0,0,0,0,0,0,1.23,9.14,2.44,46.11,0,0,23.993,20.56
2018-05-17 14:20,0,0,0,0,0,0,1.23,9.14,2.41,44.84,0,0,23.993,20.56
2018-05-17 14:30,0,0,0,0,0,0,1.23,9.14,2.39,42.35,0,0,23.993,20.56
2018-05-17 14:40,0,0,0,0,0,0,1.22,8.7,2.37,41.13,0,0,23.993,20.56
2018-05-17 14:50,0,0,0,0,0,0,1.22,8.7,2.35,39.93,0,0,23.993,20.56
