time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,궁내교_Ti
2017-07-15 4:50,3,1,7,1,2.342
2017-07-15 5:00,2,4,8,1.03,3.268
2017-07-15 5:10,6,1,4,1.07,3.623
2017-07-15 5:20,1,2,0,1.11,1.39
2017-07-15 5:30,0,2,1,1.16,0.963
2017-07-15 5:40,1,0,0,1.21,0.488
2017-07-15 5:50,0,0,0,1.29,0
2017-07-15 6:00,0,0,0,1.39,0
2017-07-15 6:10,0,0,0,1.43,0
2017-07-15 6:20,1,0,0,1.44,0.488
2017-07-15 6:30,0,1,0,1.43,0.451
2017-07-15 6:40,0,1,0,1.41,0.451
2017-07-15 6:50,0,0,0,1.38,0
2017-07-15 7:00,0,0,0,1.36,0
2017-07-15 7:10,0,0,0,1.35,0
2017-07-15 7:20,0,0,0,1.34,0
2017-07-15 7:30,0,0,0,1.34,0
2017-07-15 7:40,0,0,0,1.33,0
2017-07-15 7:50,0,0,0,1.32,0
2017-07-15 8:00,0,0,0,1.3,0
2017-07-15 8:10,0,0,0,1.29,0
2017-07-15 8:20,0,0,0,1.27,0
2017-07-15 8:30,0,0,0,1.25,0
2017-07-15 8:40,0,0,0,1.23,0
2017-07-15 8:50,0,1,0,1.22,0.451
2017-07-15 9:00,0,0,0,1.2,0
2017-07-15 9:10,0,0,0,1.19,0
2017-07-15 9:20,0,0,0,1.18,0
2017-07-15 9:30,0,0,0,1.17,0
2017-07-15 9:40,0,0,0,1.16,0
2017-07-15 9:50,0,0,0,1.15,0
2017-07-15 10:00,0,0,0,1.14,0
2017-07-15 10:10,0,0,0,1.14,0
2017-07-15 10:20,0,0,0,1.13,0
2017-07-15 10:30,0,0,0,1.13,0
2017-07-15 10:40,0,0,0,1.12,0
2017-07-15 10:50,0,0,0,1.12,0
2017-07-15 11:00,0,0,0,1.11,0
2017-07-15 11:10,0,0,0,1.11,0
2017-07-15 11:20,0,0,0,1.11,0
2017-07-15 11:30,0,0,0,1.1,0
2017-07-15 11:40,0,0,0,1.1,0
2017-07-15 11:50,0,0,0,1.1,0
2017-07-15 12:00,0,0,0,1.1,0
2017-07-15 12:10,1,1,1,1.09,1
2017-07-15 12:20,0,0,0,1.09,0
2017-07-15 12:30,0,0,0,1.09,0
2017-07-15 12:40,0,1,0,1.09,0.451
2017-07-15 12:50,0,0,0,1.09,0
2017-07-15 13:00,1,1,0,1.09,0.939
2017-07-15 13:10,1,0,0,1.09,0.488
2017-07-15 13:20,0,0,0,1.1,0
2017-07-15 13:30,0,1,0,1.1,0.451
2017-07-15 13:40,3,2,1,1.1,2.427
2017-07-15 13:50,1,6,1,1.11,3.255
2017-07-15 14:00,1,3,0,1.13,1.841
2017-07-15 14:10,1,2,0,1.16,1.39
2017-07-15 14:20,0,3,0,1.22,1.353
2017-07-15 14:30,0,3,0,1.38,1.353
2017-07-15 14:40,0,1,0,1.52,0.451
2017-07-15 14:50,1,0,0,1.64,0.488
2017-07-15 15:00,0,0,0,1.72,0
2017-07-15 15:10,0,0,0,1.73,0
2017-07-15 15:20,0,0,0,1.7,0
2017-07-15 15:30,0,1,0,1.64,0.451
2017-07-15 15:40,0,0,1,1.57,0.061
2017-07-15 15:50,0,0,0,1.51,0
2017-07-15 16:00,0,0,0,1.46,0
2017-07-15 16:10,0,0,0,1.43,0
2017-07-15 16:20,0,0,0,1.41,0
2017-07-15 16:30,0,0,0,1.4,0
2017-07-15 16:40,0,0,0,1.38,0
2017-07-15 16:50,0,0,0,1.37,0
2017-07-15 17:00,0,0,0,1.36,0
2017-07-15 17:10,0,0,0,1.34,0
2017-07-15 17:20,0,0,0,1.33,0
2017-07-15 17:30,0,0,0,1.32,0
2017-07-15 17:40,0,0,0,1.3,0
2017-07-15 17:50,0,0,0,1.28,0
2017-07-15 18:00,0,0,0,1.26,0
2017-07-15 18:10,0,0,0,1.25,0
2017-07-15 18:20,0,0,0,1.24,0
2017-07-15 18:30,0,0,0,1.23,0
2017-07-15 18:40,0,0,0,1.22,0
2017-07-15 18:50,0,0,0,1.21,0
2017-07-15 19:00,0,0,0,1.2,0
2017-07-15 19:10,0,0,0,1.2,0
2017-07-15 19:20,0,0,0,1.19,0
2017-07-15 19:30,0,0,0,1.18,0
2017-07-15 19:40,0,0,0,1.18,0
2017-07-15 19:50,0,0,0,1.17,0
2017-07-15 20:00,0,0,0,1.17,0
2017-07-15 20:10,0,0,0,1.16,0
2017-07-15 20:20,1,0,1,1.16,0.549
2017-07-15 20:30,0,0,0,1.16,0
2017-07-15 20:40,0,1,0,1.15,0.451
2017-07-15 20:50,0,0,0,1.15,0
2017-07-15 21:00,0,0,0,1.15,0
2017-07-15 21:10,0,0,0,1.14,0
2017-07-15 21:20,0,0,0,1.14,0
2017-07-15 21:30,0,0,0,1.14,0
2017-07-15 21:40,0,0,0,1.14,0
2017-07-15 21:50,0,0,0,1.14,0
2017-07-15 22:00,0,0,0,1.14,0
2017-07-15 22:10,0,0,0,1.14,0
2017-07-15 22:20,0,0,0,1.14,0
2017-07-15 22:30,0,0,0,1.14,0
2017-07-15 22:40,1,0,0,1.14,0.488
2017-07-15 22:50,0,0,0,1.14,0
2017-07-15 23:00,0,0,0,1.14,0
2017-07-15 23:10,0,0,0,1.14,0
2017-07-15 23:20,0,0,0,1.14,0
2017-07-15 23:30,0,0,0,1.13,0
2017-07-15 23:40,0,0,0,1.13,0
2017-07-15 23:50,0,0,0,1.13,0
2017-07-16 0:00,0,0,0,1.13,0
2017-07-16 0:10,0,0,0,1.13,0
2017-07-16 0:20,0,0,0,1.13,0
2017-07-16 0:30,0,0,0,1.12,0
2017-07-16 0:40,0,0,1,1.12,0.061
2017-07-16 0:50,0,0,0,1.12,0
2017-07-16 1:00,0,0,0,1.12,0
2017-07-16 1:10,0,0,0,1.12,0
2017-07-16 1:20,0,0,0,1.12,0
2017-07-16 1:30,0,0,0,1.12,0
2017-07-16 1:40,0,0,0,1.12,0
2017-07-16 1:50,3,2,3,1.12,2.549
2017-07-16 2:00,1,0,2,1.12,0.61
2017-07-16 2:10,1,1,0,1.12,0.939
2017-07-16 2:20,4,1,2,1.12,2.525
2017-07-16 2:30,4,4,5,1.13,4.061
2017-07-16 2:40,4,1,5,1.16,2.708
2017-07-16 2:50,7,8,10,1.22,7.634
2017-07-16 3:00,12,4,13,1.29,8.453
2017-07-16 3:10,9,3,11,1.36,6.416
2017-07-16 3:20,14,5,9,1.41,9.636
2017-07-16 3:30,20,10,15,1.49,15.185
2017-07-16 3:40,10,12,8,1.69,10.78
2017-07-16 3:50,4,6,4,1.93,4.902
2017-07-16 4:00,5,5,5,2.09,5
2017-07-16 4:10,1,1,1,2.16,1
2017-07-16 4:20,1,1,4,2.34,1.183
2017-07-16 4:30,3,2,3,2.63,2.549
2017-07-16 4:40,2,2,2,2.73,2
2017-07-16 4:50,2,2,1,2.74,1.939
2017-07-16 5:00,1,0,1,2.68,0.549
2017-07-16 5:10,0,0,1,2.59,0.061
2017-07-16 5:20,1,0,0,2.5,0.488
2017-07-16 5:30,1,1,1,2.39,1
2017-07-16 5:40,0,0,0,2.28,0
2017-07-16 5:50,1,1,1,2.18,1
2017-07-16 6:00,0,0,0,2.12,0
2017-07-16 6:10,0,0,0,2.09,0
2017-07-16 6:20,0,0,0,2.03,0
2017-07-16 6:30,0,1,0,1.97,0.451
2017-07-16 6:40,1,0,0,1.93,0.488
2017-07-16 6:50,0,0,0,1.89,0
2017-07-16 7:00,0,0,0,1.85,0
2017-07-16 7:10,0,0,0,1.82,0
2017-07-16 7:20,0,0,0,1.81,0
2017-07-16 7:30,0,0,0,1.8,0
