time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti
2023-07-13 5:00,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 5:10,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 5:20,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 5:30,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 5:40,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 5:50,0,0,0,0,0,0,2.16,0.93,0,0
2023-07-13 6:00,0,0,0,0,0,0,2.15,0.93,0,0
2023-07-13 6:10,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 6:20,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 6:30,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 6:40,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 6:50,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:00,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:10,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:20,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:30,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:40,0,0,0,0,0,0,2.15,0.92,0,0
2023-07-13 7:50,0,0,0,0,0,0,2.14,0.91,0,0
2023-07-13 8:00,0,0,0,0,0,0,2.14,0.91,0,0
2023-07-13 8:10,0,0,0,0,0,0,2.14,0.91,0,0
2023-07-13 8:20,0,0,0,0,0,0,2.15,0.91,0,0
2023-07-13 8:30,0,0,0,0,0,0,2.15,0.91,0,0
2023-07-13 8:40,0,0,0,0,0,0,2.16,0.91,0,0
2023-07-13 8:50,0,0,0,0,0,0,2.16,0.91,0,0
2023-07-13 9:00,0,0,0,0,0,0,2.16,0.91,0,0
2023-07-13 9:10,0,0,0,0,0,0,2.16,0.91,0,0
2023-07-13 9:20,0,0,0,0,0,0,2.17,0.91,0,0
2023-07-13 9:30,0,0,0,0,0,0,2.17,0.91,0,0
2023-07-13 9:40,0,0,0,0,0,0,2.17,0.91,0,0
2023-07-13 9:50,0,0,0,0,1,1,2.17,0.91,0.376,0.512
2023-07-13 10:00,0,0,0,1,0,0,2.17,0.92,0.074,0.488
