time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-08-14 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,23.39,0.0,0.0
2022-08-14 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,23.39,0.0,0.0
2022-08-14 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,23.39,0.0,0.0
2022-08-14 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,23.39,0.0,0.0
2022-08-14 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,23.39,0.0,0.0
2022-08-14 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,25.05,0.0,0.0
2022-08-14 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,8.72,2.24,24.21,0.0,0.0
2022-08-14 16:30:00,0.0,0.0,0.0,0.0,2.0,0.0,1.23,8.72,2.24,24.21,0.25,0.902
2022-08-14 16:40:00,0.0,0.0,0.0,0.0,5.0,1.0,1.23,8.72,2.24,24.21,0.876,2.316
2022-08-14 16:50:00,0.0,0.0,0.0,0.0,0.0,2.0,1.23,8.72,2.24,24.21,0.502,0.122
2022-08-14 17:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.23,8.72,2.24,24.21,0.125,0.451
2022-08-14 17:10:00,0.0,0.0,0.0,1.0,0.0,0.0,1.23,8.72,2.24,24.21,0.074,0.488
2022-08-14 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.27,10.46,2.24,24.21,0.0,0.0
2022-08-14 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.05,2.24,24.21,0.0,0.0
2022-08-14 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,15.20,2.24,24.21,0.0,0.0
2022-08-14 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,15.20,2.24,24.21,0.0,0.0
2022-08-14 18:00:00,0.0,0.0,7.0,5.0,0.0,2.0,1.36,15.20,2.24,24.21,0.984,2.562
2022-08-14 18:10:00,0.0,0.0,4.0,4.0,5.0,3.0,1.36,15.20,2.24,24.21,1.738,4.39
2022-08-14 18:20:00,0.0,1.0,0.0,0.0,3.0,0.0,1.41,18.37,2.24,24.21,0.748,1.353
2022-08-14 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.44,20.46,2.24,24.21,0.0,0.0
2022-08-14 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.44,20.46,2.24,25.05,0.0,0.0
2022-08-14 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.43,19.74,2.24,25.05,0.0,0.0
2022-08-14 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.53,27.67,2.24,25.90,0.0,0.0
2022-08-14 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.65,39.66,2.25,28.54,0.0,0.0
2022-08-14 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.70,45.52,2.26,32.25,0.0,0.0
2022-08-14 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.70,45.52,2.28,38.22,0.0,0.0
2022-08-14 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.65,39.66,2.32,44.68,0.0,0.0
2022-08-14 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.60,34.31,2.37,49.25,0.0,0.0
2022-08-14 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.54,28.56,2.41,52.82,0.0,0.0
2022-08-14 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.49,24.29,2.44,53.85,0.0,0.0
2022-08-14 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.45,21.19,2.47,55.95,0.0,0.0
2022-08-14 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.42,19.05,2.49,60.27,0.0,0.0
2022-08-14 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.40,17.70,2.52,62.51,0.0,0.0
2022-08-14 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.39,17.05,2.55,63.65,0.0,0.0
2022-08-14 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.37,15.81,2.57,63.65,0.0,0.0
2022-08-14 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,15.20,2.57,60.27,0.0,0.0
2022-08-14 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,15.20,2.57,58.09,0.0,0.0
2022-08-14 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.35,14.62,2.56,53.85,0.0,0.0
2022-08-14 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.05,2.54,50.43,0.0,0.0
2022-08-14 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.05,2.51,48.09,0.0,0.0
2022-08-14 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.33,13.49,2.49,44.68,0.0,0.0
2022-08-14 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.32,12.95,2.46,42.48,0.0,0.0
