time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2022-07-13 10:20,1,1,1,1,1,0,0.94,3.29,2.16,8.34,0.749,0.939,0.749,0.939
2022-07-13 10:30,0,0,0,1,1,1,0.94,3.29,2.16,8.97,0.45,1,1.199,1.939
2022-07-13 10:40,2,1,1,2,0,2,0.95,3.49,2.16,8.97,1.361,1.098,2.56,3.037
2022-07-13 10:50,2,1,1,1,1,1,0.96,3.7,2.15,8.97,1.161,1,3.721,4.037
2022-07-13 11:00,2,3,2,2,1,4,0.99,4.36,2.15,10.31,2.75,1.671,6.471,5.708
2022-07-13 11:10,6,4,3,2,1,1,1.01,4.83,2.15,11.73,3.03,1.488,9.501,7.196
2022-07-13 11:20,2,2,3,2,2,2,1.04,5.58,2.16,15.65,2.016,2,11.517,9.196
2022-07-13 11:30,2,2,2,1,1,2,1.07,6.38,2.19,21.05,1.801,1.061,13.318,10.257
2022-07-13 11:40,2,2,2,2,0,2,1.09,6.94,2.22,28.29,1.75,1.098,15.068,11.355
2022-07-13 11:50,3,5,5,1,2,1,1.12,7.83,2.28,44.31,3.003,1.451,18.071,12.806
2022-07-13 12:00,2,2,2,2,2,3,1.14,8.45,2.38,57.01,2.251,2.061,20.322,14.867
2022-07-13 12:10,0,1,1,0,2,0,1.17,9.63,2.48,65.95,0.639,0.902,20.961,15.769
2022-07-13 12:20,1,1,1,1,0,1,1.22,11.98,2.6,74.42,0.875,0.549,21.836,16.318
2022-07-13 12:30,0,0,0,0,0,0,1.27,14.59,2.76,80.83,0,0,21.836,16.318
2022-07-13 12:40,1,1,1,2,1,1,1.31,16.87,2.77,84.84,1.074,1.488,22.91,17.806
2022-07-13 12:50,0,0,0,1,1,1,1.34,18.69,2.78,86.19,0.45,1,23.36,18.806
2022-07-13 13:00,1,1,1,0,0,0,1.36,19.96,2.79,87.57,0.55,0,23.91,18.806
2022-07-13 13:10,0,0,0,1,1,0,1.37,20.61,2.78,86.19,0.199,0.939,24.109,19.745
2022-07-13 13:20,1,1,1,0,0,1,1.38,21.27,2.77,83.49,0.801,0.061,24.91,19.806
2022-07-13 13:30,1,0,1,1,1,1,1.38,21.27,2.76,80.83,0.627,1,25.537,20.806
2022-07-13 13:40,1,1,1,2,1,2,1.38,21.27,2.75,78.23,1.325,1.549,26.862,22.355
2022-07-13 13:50,1,2,0,2,2,1,1.38,21.27,2.74,76.95,1.556,1.939,28.418,24.294
2022-07-13 14:00,2,1,2,1,2,2,1.38,21.27,2.74,75.67,1.553,1.512,29.971,25.806
2022-07-13 14:10,2,1,2,1,1,1,1.38,21.27,2.74,75.67,1.177,1,31.148,26.806
2022-07-13 14:20,1,1,1,4,1,4,1.38,21.27,2.74,76.95,1.975,2.647,33.123,29.453
2022-07-13 14:30,4,3,2,3,3,2,1.38,21.27,2.75,78.23,2.894,2.939,36.017,32.392
2022-07-13 14:40,5,3,3,3,3,4,1.4,22.63,2.77,83.49,3.573,3.061,39.59,35.453
2022-07-13 14:50,3,4,6,3,3,3,1.43,24.74,2.81,91.76,3.421,3,43.011,38.453
2022-07-13 15:00,3,3,4,2,2,1,1.47,27.71,2.89,100.5,2.315,1.939,45.326,40.392
2022-07-13 15:10,1,1,2,0,1,0,1.52,31.67,2.95,111.29,0.691,0.451,46.017,40.843
2022-07-13 15:20,2,1,1,2,1,2,1.57,35.9,3.05,122.73,1.486,1.549,47.503,42.392
2022-07-13 15:30,3,2,2,4,2,5,1.63,41.35,3.11,134.84,3.062,3.159,50.565,45.551
2022-07-13 15:40,4,5,5,5,5,4,1.69,47.19,3.14,145.76,4.588,4.939,55.153,50.49
2022-07-13 15:50,6,5,4,7,6,6,1.75,53.42,3.25,153.33,5.669,6.488,60.822,56.978
2022-07-13 16:00,1,2,3,5,4,7,1.81,59.91,3.31,165.09,3.582,4.671,64.404,61.649
2022-07-13 16:10,6,6,2,5,5,3,1.87,65.98,3.43,183.72,4.984,4.878,69.388,66.527
2022-07-13 16:20,1,2,4,4,2,4,1.97,76.69,3.57,212.71,2.521,3.098,71.909,69.625
2022-07-13 16:30,6,3,4,8,5,7,2.09,90.54,3.71,246.78,5.123,6.586,77.032,76.211
2022-07-13 16:40,10,10,8,6,6,7,2.15,97.87,3.88,286.65,8.419,6.061,85.451,82.272
2022-07-13 16:50,7,7,9,2,4,2,2.19,102.9,4.09,339.2,5.032,2.902,90.483,85.174
2022-07-13 17:00,2,2,7,2,2,1,2.23,108.05,4.24,397.05,1.829,1.939,92.312,87.113
2022-07-13 17:10,1,1,1,3,3,1,2.27,113.32,4.46,445.81,1.398,2.878,93.71,89.991
2022-07-13 17:20,4,5,3,1,2,2,2.31,118.98,4.53,478.92,3.383,1.512,97.093,91.503
2022-07-13 17:30,3,5,5,7,2,3,2.34,123.97,4.55,494.09,3.949,4.501,101.042,96.004
2022-07-13 17:40,1,0,0,4,5,1,2.38,130.8,4.57,501.78,1.333,4.268,102.375,100.272
2022-07-13 17:50,0,1,1,1,2,1,2.39,132.54,4.61,505.65,0.964,1.451,103.339,101.723
2022-07-13 18:00,6,3,4,1,1,1,2.39,132.54,4.6,509.54,2.599,1,105.938,102.723
2022-07-13 18:10,5,6,3,4,1,7,2.35,125.66,4.63,517.37,5.269,2.83,111.207,105.553
2022-07-13 18:20,4,9,2,7,1,13,2.33,122.29,4.6,513.45,7.939,4.66,119.146,110.213
2022-07-13 18:30,2,2,1,7,5,4,2.33,122.29,4.67,537.26,3.231,5.915,122.377,116.128
2022-07-13 18:40,0,3,0,5,5,4,2.36,127.36,4.75,557.59,3.118,4.939,125.495,121.067
2022-07-13 18:50,3,1,2,7,4,6,2.36,127.36,4.73,578.36,3.412,5.586,128.907,126.653
2022-07-13 19:00,1,5,0,9,5,5,2.37,129.07,4.82,598.03,4.572,6.952,133.479,133.605
2022-07-13 19:10,1,0,1,4,6,3,2.45,143.23,4.86,606.23,1.976,4.841,135.455,138.446
2022-07-13 19:20,2,1,0,1,2,0,2.51,154.39,4.87,619.97,1.019,1.39,136.474,139.836
2022-07-13 19:30,2,1,2,1,2,1,2.53,158.21,4.9,625.5,1.302,1.451,137.776,141.287
2022-07-13 19:40,0,0,0,0,0,1,2.54,160.14,4.94,642.18,0.251,0.061,138.027,141.348
2022-07-13 19:50,0,1,0,1,1,0,2.57,166.01,4.94,647.77,0.572,0.939,138.599,142.287
2022-07-13 20:00,0,0,0,1,1,1,2.61,174.01,4.98,639.39,0.45,1,139.049,143.287
2022-07-13 20:10,0,0,0,0,0,0,2.65,182.23,4.97,633.82,0,0,139.049,143.287
2022-07-13 20:20,0,0,1,0,1,0,2.64,180.15,4.9,628.27,0.141,0.451,139.19,143.738
2022-07-13 20:30,0,0,0,0,0,0,2.58,167.99,4.8,617.22,0,0,139.19,143.738
2022-07-13 20:40,0,0,0,0,0,0,2.5,152.5,4.84,598.03,0,0,139.19,143.738
2022-07-13 20:50,0,0,0,1,0,0,2.4,134.29,4.68,570,0.074,0.488,139.264,144.226
2022-07-13 21:00,0,0,0,0,0,0,2.3,117.34,4.7,549.4,0,0,139.264,144.226
2022-07-13 21:10,1,0,0,0,0,1,2.2,104.17,4.61,521.31,0.412,0.061,139.676,144.287
2022-07-13 21:20,0,1,0,0,1,0,2.13,95.4,4.57,490.27,0.498,0.451,140.174,144.738
2022-07-13 21:30,0,0,0,1,0,0,2.09,90.54,4.39,453.05,0.074,0.488,140.248,145.226
2022-07-13 21:40,0,0,0,1,0,0,2.04,84.64,4.28,414.08,0.074,0.488,140.322,145.714
2022-07-13 21:50,0,0,1,1,0,0,2,80.05,4.14,370.68,0.09,0.488,140.412,146.202
2022-07-13 22:00,0,0,0,0,1,0,1.96,75.59,3.96,330.08,0.125,0.451,140.537,146.653
2022-07-13 22:10,0,0,0,0,1,0,1.93,72.32,3.82,292.23,0.125,0.451,140.662,147.104
