time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),대곡교_Ti,궁내교_Ti,성남시(궁내교)_WL,서울시(대곡교)_WL,성남시(궁내교)_Q,서울시(대곡교)_Q,대곡교_누적강우,궁내교_누적강우
2025-08-13 23:10,1,0,0,0,0,0,0.161,0,1.04,2.34,12.31,41.49,0.161,0
2025-08-13 23:20,0,0,0,0,0,0,0,0,1.03,2.33,11.88,40.68,0.161,0
2025-08-13 23:30,0,0,0,0,0,0,0,0,1.01,2.32,11.06,39.87,0.161,0
2025-08-13 23:40,0,0,0,0,0,0,0,0,1,2.31,10.66,39.07,0.161,0
2025-08-13 23:50,0,0,0,0,0,0,0,0,0.99,2.31,10.26,39.07,0.161,0
2025-08-14 0:00,0,0,0,0,0,0,0,0,0.98,2.3,9.87,38.28,0.161,0
2025-08-14 0:10,0,0,0,0,0,0,0,0,0.98,2.29,9.87,37.5,0.161,0
2025-08-14 0:20,0,0,0,0,0,0,0,0,0.97,2.28,9.48,36.72,0.161,0
2025-08-14 0:30,0,0,0,0,0,0,0,0,0.96,2.27,9.11,35.94,0.161,0
2025-08-14 0:40,0,0,0,0,0,0,0,0,0.96,2.26,9.11,35.17,0.161,0
2025-08-14 0:50,0,0,0,0,0,0,0,0,0.95,2.25,8.73,34.41,0.161,0
2025-08-14 1:00,0,0,0,0,0,0,0,0,0.95,2.24,8.73,33.66,0.161,0
2025-08-14 1:10,0,0,0,1,0,0,0.074,0.488,0.94,2.23,8.37,32.91,0.235,0.488
2025-08-14 1:20,0,0,0,1,0,0,0.074,0.488,0.94,2.22,8.37,32.17,0.309,0.976
2025-08-14 1:30,0,0,1,0,0,0,0.016,0,0.94,2.22,8.37,32.17,0.325,0.976
2025-08-14 1:40,0,1,1,1,0,0,0.463,0.488,0.93,2.21,8.01,31.44,0.788,1.464
2025-08-14 1:50,0,0,0,0,0,1,0.251,0.061,0.93,2.2,8.01,30.71,1.039,1.525
2025-08-14 2:00,0,1,1,1,1,2,1.09,1.061,0.92,2.19,7.66,29.99,2.129,2.586
2025-08-14 2:10,4,1,2,1,1,1,1.499,1,0.92,2.19,7.66,29.99,3.628,3.586
2025-08-14 2:20,2,1,2,1,0,1,1.052,0.549,0.92,2.18,7.66,29.28,4.68,4.135
2025-08-14 2:30,1,1,1,0,0,1,0.801,0.061,0.92,2.17,7.66,28.57,5.481,4.196
2025-08-14 2:40,1,1,1,0,1,1,0.926,0.512,0.92,2.17,7.66,28.57,6.407,4.708
2025-08-14 2:50,0,0,0,1,0,0,0.074,0.488,0.92,2.17,7.66,28.57,6.481,5.196
2025-08-14 3:00,1,0,1,0,0,0,0.177,0,0.92,2.16,7.66,27.87,6.658,5.196
2025-08-14 3:10,0,0,0,0,0,0,0,0,0.92,2.16,7.66,27.87,6.658,5.196
2025-08-14 3:20,0,0,0,0,0,0,0,0,0.92,2.16,7.66,27.87,6.658,5.196
2025-08-14 3:30,0,1,0,0,0,0,0.373,0,0.92,2.16,7.66,27.87,7.031,5.196
2025-08-14 3:40,0,0,0,0,0,1,0.251,0.061,0.92,2.15,7.66,27.18,7.282,5.257
2025-08-14 3:50,0,0,0,0,1,0,0.125,0.451,0.91,2.15,7.31,27.18,7.407,5.708
2025-08-14 4:00,0,0,1,1,0,1,0.341,0.549,0.91,2.15,7.31,27.18,7.748,6.257
2025-08-14 4:10,1,1,0,0,0,0,0.534,0,0.91,2.15,7.31,27.18,8.282,6.257
2025-08-14 4:20,0,0,0,1,0,0,0.074,0.488,0.91,2.15,7.31,27.18,8.356,6.745
2025-08-14 4:30,1,0,1,1,1,0,0.376,0.939,0.92,2.15,7.66,27.18,8.732,7.684
2025-08-14 4:40,0,0,0,1,0,1,0.325,0.549,0.93,2.15,8.01,27.18,9.057,8.233
2025-08-14 4:50,0,1,0,0,0,0,0.373,0,0.94,2.15,8.37,27.18,9.43,8.233
2025-08-14 5:00,0,0,0,3,0,8,2.23,1.952,0.95,2.15,8.73,27.18,11.66,10.185
2025-08-14 5:10,3,2,2,1,0,2,1.837,0.61,0.96,2.14,9.11,26.49,13.497,10.795
2025-08-14 5:20,6,10,4,1,5,6,6.965,3.109,0.97,2.14,9.48,26.49,20.462,13.904
2025-08-14 5:30,0,2,1,3,3,0,1.359,2.817,1,2.14,10.66,26.49,21.821,16.721
2025-08-14 5:40,0,0,1,0,11,0,1.391,4.961,1.11,2.15,15.43,27.18,23.212,21.682
2025-08-14 5:50,0,0,0,0,3,0,0.375,1.353,1.2,2.16,19.88,27.87,23.587,23.035
2025-08-14 6:00,0,0,0,0,2,0,0.25,0.902,1.22,2.18,20.94,29.28,23.837,23.937
2025-08-14 6:10,0,0,0,2,1,4,1.277,1.671,1.24,2.86,22.01,104.86,25.114,25.608
2025-08-14 6:20,0,4,2,0,1,0,1.649,0.451,1.34,2.93,27.61,114.92,26.763,26.059
2025-08-14 6:30,0,2,2,1,0,1,1.103,0.549,1.4,2.91,31.11,112.01,27.866,26.608
2025-08-14 6:40,1,0,0,0,1,0,0.286,0.451,1.4,2.86,31.11,104.86,28.152,27.059
