time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2023-07-11 06:50:00,0.0,0.0,0.0,0.84,4.08,0.0
2023-07-11 07:00:00,0.0,0.0,0.0,0.83,3.79,0.0
2023-07-11 07:10:00,0.0,0.0,0.0,0.83,3.79,0.0
2023-07-11 07:20:00,0.0,0.0,0.0,0.83,3.79,0.0
2023-07-11 07:30:00,0.0,0.0,0.0,0.83,3.79,0.0
2023-07-11 07:40:00,0.0,0.0,0.0,0.83,3.79,0.0
2023-07-11 07:50:00,0.0,1.0,0.0,0.83,3.79,0.451
2023-07-11 08:00:00,3.0,7.0,0.0,0.83,3.79,4.621
2023-07-11 08:10:00,0.0,10.0,1.0,0.83,3.79,4.571
2023-07-11 08:20:00,3.0,16.0,0.0,0.83,3.79,8.68
2023-07-11 08:30:00,10.0,9.0,0.0,0.84,4.08,8.939
2023-07-11 08:40:00,8.0,13.0,4.0,1.13,15.84,10.011
2023-07-11 08:50:00,10.0,8.0,5.0,1.94,75.45,8.793
2023-07-11 09:00:00,7.0,3.0,16.0,2.22,108.59,5.744999999999999
2023-07-11 09:10:00,11.0,4.0,9.0,2.37,129.52,7.721
2023-07-11 09:20:00,8.0,9.0,1.0,2.48,147.64,8.024000000000001
2023-07-11 09:30:00,2.0,2.0,0.0,2.52,155.0,1.878
2023-07-11 09:40:00,0.0,0.0,0.0,2.48,147.64,0.0
2023-07-11 09:50:00,0.0,0.0,0.0,2.4,133.99,0.0
2023-07-11 10:00:00,0.0,0.0,0.0,2.33,123.71,0.0
2023-07-11 10:10:00,0.0,0.0,0.0,2.26,113.95,0.0
2023-07-11 10:20:00,0.0,0.0,1.0,2.17,102.12,0.061
2023-07-11 10:30:00,0.0,0.0,0.0,2.09,92.27,0.0
2023-07-11 10:40:00,0.0,0.0,0.0,1.98,79.73,0.0
2023-07-11 10:50:00,0.0,0.0,1.0,1.85,66.35,0.061
2023-07-11 11:00:00,0.0,0.0,0.0,1.75,57.07,0.0
2023-07-11 11:10:00,0.0,0.0,0.0,1.67,50.27,0.0
2023-07-11 11:20:00,0.0,0.0,0.0,1.6,44.75,0.0
2023-07-11 11:30:00,0.0,0.0,0.0,1.54,40.34,0.0
2023-07-11 11:40:00,0.0,0.0,0.0,1.48,36.2,0.0
2023-07-11 11:50:00,0.0,0.0,0.0,1.44,33.6,0.0
2023-07-11 12:00:00,0.0,0.0,0.0,1.4,31.11,0.0
2023-07-11 12:10:00,0.0,0.0,0.0,1.37,29.33,0.0
2023-07-11 12:20:00,0.0,0.0,0.0,1.35,28.18,0.0
2023-07-11 12:30:00,0.0,0.0,0.0,1.33,27.05,0.0
2023-07-11 12:40:00,0.0,0.0,0.0,1.32,26.5,0.0
2023-07-11 12:50:00,0.0,0.0,0.0,1.3,25.34,0.0
2023-07-11 13:00:00,0.0,0.0,0.0,1.28,24.13,0.0
2023-07-11 13:10:00,0.0,0.0,0.0,1.27,23.54,0.0
2023-07-11 13:20:00,0.0,0.0,0.0,1.26,22.95,0.0
2023-07-11 13:30:00,0.0,0.0,0.0,1.25,22.36,0.0
2023-07-11 13:40:00,0.0,0.0,0.0,1.24,21.78,0.0
2023-07-11 13:50:00,0.0,1.0,0.0,1.23,21.21,0.451
2023-07-11 14:00:00,2.0,3.0,1.0,1.22,20.65,2.39
2023-07-11 14:10:00,0.0,1.0,5.0,1.21,20.09,0.756
2023-07-11 14:20:00,1.0,0.0,3.0,1.21,20.09,0.671
2023-07-11 14:30:00,2.0,1.0,1.0,1.24,21.78,1.488
2023-07-11 14:40:00,4.0,0.0,4.0,1.26,22.95,2.196
2023-07-11 14:50:00,0.0,0.0,6.0,1.33,27.05,0.366
2023-07-11 15:00:00,1.0,0.0,0.0,1.34,27.61,0.488
2023-07-11 15:10:00,2.0,0.0,1.0,1.34,27.61,1.037
2023-07-11 15:20:00,1.0,0.0,1.0,1.34,27.61,0.5489999999999999
2023-07-11 15:30:00,1.0,0.0,0.0,1.34,27.61,0.488
2023-07-11 15:40:00,0.0,0.0,0.0,1.34,27.61,0.0
2023-07-11 15:50:00,0.0,0.0,1.0,1.33,27.05,0.061
2023-07-11 16:00:00,0.0,1.0,2.0,1.32,26.5,0.573
2023-07-11 16:10:00,0.0,2.0,4.0,1.3,25.34,1.146
2023-07-11 16:20:00,1.0,0.0,7.0,1.28,24.13,0.915
2023-07-11 16:30:00,7.0,10.0,3.0,1.28,24.13,8.109
2023-07-11 16:40:00,0.0,8.0,1.0,1.35,28.18,3.669
2023-07-11 16:50:00,0.0,0.0,0.0,1.43,32.97,0.0
2023-07-11 17:00:00,0.0,0.0,0.0,1.55,41.05,0.0
2023-07-11 17:10:00,0.0,0.0,0.0,1.7,52.76,0.0
2023-07-11 17:20:00,0.0,0.0,0.0,1.72,54.46,0.0
2023-07-11 17:30:00,0.0,0.0,0.0,1.68,51.09,0.0
2023-07-11 17:40:00,0.0,0.0,1.0,1.62,46.29,0.061
2023-07-11 17:50:00,1.0,0.0,0.0,1.57,42.51,0.488
2023-07-11 18:00:00,0.0,1.0,1.0,1.52,38.93,0.512
2023-07-11 18:10:00,1.0,0.0,1.0,1.49,36.87,0.5489999999999999
2023-07-11 18:20:00,0.0,0.0,0.0,1.47,35.54,0.0
2023-07-11 18:30:00,0.0,0.0,0.0,1.45,34.24,0.0
2023-07-11 18:40:00,0.0,0.0,0.0,1.45,34.24,0.0
2023-07-11 18:50:00,0.0,0.0,0.0,1.43,32.97,0.0
2023-07-11 19:00:00,0.0,0.0,1.0,1.41,31.72,0.061
2023-07-11 19:10:00,0.0,0.0,0.0,1.39,30.51,0.0
2023-07-11 19:20:00,1.0,1.0,0.0,1.38,29.92,0.939
2023-07-11 19:30:00,0.0,0.0,0.0,1.36,28.75,0.0
2023-07-11 19:40:00,0.0,0.0,0.0,1.35,28.18,0.0
2023-07-11 19:50:00,0.0,0.0,0.0,1.35,28.18,0.0
2023-07-11 20:00:00,0.0,0.0,0.0,1.34,27.61,0.0
2023-07-11 20:10:00,0.0,0.0,0.0,1.33,27.05,0.0
2023-07-11 20:20:00,0.0,0.0,0.0,1.32,26.5,0.0
2023-07-11 20:30:00,0.0,0.0,0.0,1.32,26.5,0.0
