time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2021-05-10 04:40:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 04:50:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 05:00:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 05:10:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 05:20:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 05:30:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 05:40:00,1.0,0.0,0.0,0.86,0.63,0.488
2021-05-10 05:50:00,1.0,1.0,0.0,0.86,0.63,0.939
2021-05-10 06:00:00,0.0,1.0,0.0,0.86,0.63,0.451
2021-05-10 06:10:00,0.0,0.0,1.0,0.86,0.63,0.061
2021-05-10 06:20:00,2.0,1.0,1.0,0.86,0.63,1.488
2021-05-10 06:30:00,0.0,1.0,0.0,0.86,0.63,0.451
2021-05-10 06:40:00,0.0,1.0,0.0,0.85,0.56,0.451
2021-05-10 06:50:00,1.0,0.0,0.0,0.85,0.56,0.488
2021-05-10 07:00:00,0.0,0.0,0.0,0.85,0.56,0.0
2021-05-10 07:10:00,0.0,0.0,0.0,0.85,0.56,0.0
2021-05-10 07:20:00,0.0,0.0,0.0,0.85,0.56,0.0
2021-05-10 07:30:00,0.0,0.0,0.0,0.86,0.63,0.0
2021-05-10 07:40:00,0.0,0.0,0.0,0.86,0.63,0.0
2021-05-10 07:50:00,0.0,0.0,0.0,0.86,0.63,0.0
2021-05-10 08:00:00,0.0,0.0,0.0,0.86,0.63,0.0
2021-05-10 08:10:00,0.0,0.0,0.0,0.86,0.63,0.0
2021-05-10 08:20:00,0.0,0.0,0.0,0.87,0.71,0.0
2021-05-10 08:30:00,0.0,1.0,0.0,0.88,0.79,0.451
2021-05-10 08:40:00,0.0,0.0,0.0,0.9,0.98,0.0
2021-05-10 08:50:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 09:00:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 09:10:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-10 09:20:00,0.0,0.0,0.0,1.01,2.52,0.0
2021-05-10 09:30:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 09:40:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 09:50:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:00:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:10:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:20:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:30:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:40:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 10:50:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:00:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:10:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:20:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:30:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:40:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 11:50:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 12:00:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-10 12:10:00,1.0,0.0,0.0,1.02,2.70,0.488
2021-05-10 12:20:00,0.0,0.0,1.0,1.01,2.52,0.061
2021-05-10 12:30:00,0.0,1.0,0.0,1.01,2.52,0.451
2021-05-10 12:40:00,1.0,0.0,0.0,1.0,2.34,0.488
2021-05-10 12:50:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-10 13:00:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-10 13:10:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-10 13:20:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-10 13:30:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-10 13:40:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-10 13:50:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-10 14:00:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-10 14:10:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-10 14:20:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-10 14:30:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-10 14:40:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 14:50:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:00:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:10:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:20:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:30:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:40:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-10 15:50:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:00:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:10:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:20:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:30:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:40:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 16:50:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:00:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:10:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:20:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:30:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:40:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 17:50:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 18:00:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 18:10:00,0.0,0.0,0.0,0.96,1.72,0.0
2021-05-10 18:20:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-05-10 18:30:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-05-10 18:40:00,0.0,0.0,0.0,0.95,1.58,0.0
2021-05-10 18:50:00,0.0,0.0,0.0,0.94,1.44,0.0
2021-05-10 19:00:00,0.0,0.0,0.0,0.94,1.44,0.0
2021-05-10 19:10:00,0.0,0.0,0.0,0.94,1.44,0.0
2021-05-10 19:20:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 19:30:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 19:40:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 19:50:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 20:00:00,0.0,0.0,0.0,0.93,1.32,0.0
2021-05-10 20:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 20:20:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 20:30:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 20:40:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 20:50:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:20:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:30:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:40:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 21:50:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:10:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:20:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:30:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:40:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 22:50:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 23:00:00,0.0,0.0,0.0,0.92,1.20,0.0
2021-05-10 23:10:00,0.0,0.0,0.0,0.92,1.20,0.0
