time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-03-01 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,4.96,0.0,0.0
2022-03-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.36,0.0,0.0
2022-03-01 02:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.6,0.161,0.0
2022-03-01 02:50:00,0.0,0.0,1.0,0.0,0.0,0.0,0.88,2.2,1.78,5.6,0.016,0.0
2022-03-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.6,0.0,0.0
2022-03-01 03:10:00,0.0,1.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.56,0.373,0.0
2022-03-01 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.62,0.0,0.0
2022-03-01 03:30:00,0.0,0.0,0.0,1.0,1.0,0.0,0.88,2.2,1.78,5.62,0.199,0.939
2022-03-01 03:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.88,2.2,1.78,5.54,0.161,0.0
2022-03-01 03:50:00,0.0,0.0,0.0,0.0,0.0,1.0,0.88,2.2,1.78,5.7,0.251,0.061
2022-03-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.04,1.78,5.45,0.0,0.0
2022-03-01 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.04,1.78,5.44,0.0,0.0
2022-03-01 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.04,1.78,5.52,0.0,0.0
2022-03-01 04:30:00,0.0,0.0,1.0,0.0,0.0,0.0,0.87,2.04,1.77,5.5,0.016,0.0
2022-03-01 04:40:00,0.0,0.0,0.0,1.0,1.0,0.0,0.87,2.04,1.77,5.24,0.199,0.939
2022-03-01 04:50:00,0.0,1.0,0.0,0.0,0.0,0.0,0.86,1.88,1.77,4.94,0.373,0.0
2022-03-01 05:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.86,1.88,1.76,4.98,0.251,0.061
2022-03-01 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.88,1.77,5.02,0.0,0.0
2022-03-01 05:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.86,1.88,1.76,4.9,0.161,0.0
2022-03-01 05:30:00,0.0,0.0,0.0,1.0,0.0,0.0,0.86,1.88,1.76,4.94,0.074,0.488
2022-03-01 05:40:00,0.0,0.0,0.0,0.0,1.0,0.0,0.85,1.73,1.76,4.93,0.125,0.451
2022-03-01 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.73,1.76,4.54,0.0,0.0
2022-03-01 06:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.85,1.73,1.76,4.85,0.016,0.0
2022-03-01 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.73,1.76,4.62,0.0,0.0
2022-03-01 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.73,1.76,4.62,0.0,0.0
2022-03-01 06:30:00,0.0,0.0,0.0,0.0,0.0,1.0,0.85,1.73,1.76,4.93,0.251,0.061
2022-03-01 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,5.13,0.0,0.0
2022-03-01 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.85,0.0,0.0
2022-03-01 07:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,5.09,0.373,0.0
2022-03-01 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,5.13,0.0,0.0
2022-03-01 07:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.75,5.13,0.161,0.0
2022-03-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,5.21,0.0,0.0
2022-03-01 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.75,4.97,0.0,0.0
2022-03-01 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.85,0.0,0.0
2022-03-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,5.09,0.0,0.0
2022-03-01 08:10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.84,1.59,1.76,4.58,0.016,0.0
2022-03-01 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.66,0.0,0.0
2022-03-01 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.85,0.0,0.0
2022-03-01 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.82,0.0,0.0
2022-03-01 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.76,4.86,0.0,0.0
2022-03-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.77,4.94,0.0,0.0
2022-03-01 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.77,5.06,0.0,0.0
2022-03-01 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.59,1.77,4.96,0.0,0.0
