time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2024-09-12 5:30,0,0,0,0,0,0,0.77,3.22,1.88,10.53,0,0
2024-09-12 5:40,0,0,0,1,0,0,0.76,2.98,1.87,10.06,0.074,0.488
2024-09-12 5:50,0,0,0,0,0,0,0.76,2.98,1.87,10.06,0,0
2024-09-12 6:00,0,0,0,0,1,0,0.76,2.98,1.87,10.06,0.125,0.451
2024-09-12 6:10,0,0,0,0,0,0,0.76,2.98,1.87,10.06,0,0
2024-09-12 6:20,0,0,0,0,0,0,0.76,2.98,1.87,10.06,0,0
2024-09-12 6:30,1,0,1,0,0,0,0.76,2.98,1.87,10.06,0.177,0
2024-09-12 6:40,0,0,0,0,0,0,0.76,2.98,1.86,9.61,0,0
2024-09-12 6:50,0,0,0,0,0,0,0.76,2.98,1.86,9.61,0,0
2024-09-12 7:00,0,0,0,0,0,0,0.76,2.98,1.86,9.61,0,0
2024-09-12 7:10,0,0,0,0,0,0,0.75,2.75,1.86,9.61,0,0
2024-09-12 7:20,0,0,0,0,0,0,0.75,2.75,1.85,9.16,0,0
2024-09-12 7:30,0,0,1,0,0,0,0.75,2.75,1.85,9.16,0.016,0
2024-09-12 7:40,0,0,0,0,1,0,0.75,2.75,1.85,9.16,0.125,0.451
2024-09-12 7:50,0,0,0,0,0,1,0.75,2.75,1.85,9.16,0.251,0.061
2024-09-12 8:00,0,0,0,1,0,0,0.75,2.75,1.85,9.16,0.074,0.488
2024-09-12 8:10,0,0,0,0,0,0,0.75,2.75,1.84,8.73,0,0
2024-09-12 8:20,0,0,0,0,0,0,0.75,2.75,1.84,8.73,0,0
2024-09-12 8:30,0,1,0,0,0,2,0.74,2.53,1.84,8.73,0.875,0.122
2024-09-12 8:40,0,0,0,2,1,2,0.74,2.53,1.84,8.73,0.775,1.549
2024-09-12 8:50,1,0,2,3,2,1,0.74,2.53,1.84,8.73,0.916,2.427
2024-09-12 9:00,0,0,0,0,4,2,0.74,2.53,1.84,8.73,1.002,1.926
2024-09-12 9:10,0,0,1,1,0,0,0.75,2.75,1.84,8.73,0.09,0.488
2024-09-12 9:20,0,1,0,0,1,0,0.78,3.46,1.83,8.3,0.498,0.451
2024-09-12 9:30,0,0,0,0,0,0,0.8,3.98,1.83,8.3,0,0
2024-09-12 9:40,0,0,0,0,0,0,0.81,4.24,1.83,8.3,0,0
2024-09-12 9:50,0,0,2,0,0,0,0.82,4.52,1.83,8.3,0.032,0
2024-09-12 10:00,0,0,1,0,0,0,0.84,5.09,1.83,8.3,0.016,0
2024-09-12 10:10,0,0,0,0,0,0,0.94,8.37,1.84,8.73,0,0
2024-09-12 10:20,0,0,0,0,0,0,1.05,12.74,1.84,8.73,0,0
2024-09-12 10:30,0,0,0,0,0,0,1.1,14.97,1.84,8.73,0,0
2024-09-12 10:40,0,0,0,0,1,0,1.12,15.9,1.85,9.16,0.125,0.451
2024-09-12 10:50,0,0,0,0,0,0,1.12,15.9,1.87,10.06,0,0
2024-09-12 11:00,0,0,0,0,0,0,1.12,15.9,1.92,12.46,0,0
2024-09-12 11:10,0,0,0,0,0,0,1.09,14.51,1.95,14,0,0
2024-09-12 11:20,0,0,0,0,0,0,1.07,13.61,1.98,15.61,0,0
2024-09-12 11:30,0,0,0,0,0,0,1.05,12.74,2.01,17.29,0,0
2024-09-12 11:40,0,0,0,0,0,0,1.03,11.88,2.02,17.87,0,0
2024-09-12 11:50,0,0,0,0,1,0,1.01,11.06,2.04,19.04,0.125,0.451
2024-09-12 12:00,0,0,0,0,1,0,1,10.66,2.04,19.04,0.125,0.451
2024-09-12 12:10,0,0,0,0,0,0,0.99,10.26,2.04,19.04,0,0
2024-09-12 12:20,0,0,0,1,1,0,0.97,9.48,2.04,19.04,0.199,0.939
2024-09-12 12:30,0,0,0,0,0,1,0.96,9.11,2.04,19.04,0.251,0.061
2024-09-12 12:40,0,0,0,0,0,3,0.95,8.73,2.04,19.04,0.753,0.183
2024-09-12 12:50,0,0,0,0,0,1,0.95,8.73,2.04,19.04,0.251,0.061
2024-09-12 13:00,0,0,0,0,0,0,0.94,8.37,2.04,19.04,0,0
2024-09-12 13:10,0,0,0,0,0,0,0.94,8.37,2.04,19.04,0,0
2024-09-12 13:20,0,0,0,2,0,1,0.94,8.37,2.04,19.04,0.399,1.037
2024-09-12 13:30,0,0,0,1,0,2,0.98,9.87,2.04,19.04,0.576,0.61
