time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,궁내교_Ti
2020-08-05 5:50,0,0,0,1.18,0
2020-08-05 6:00,0,0,0,1.18,0
2020-08-05 6:10,0,0,0,1.18,0
2020-08-05 6:20,0,0,0,1.17,0
2020-08-05 6:30,0,0,0,1.17,0
2020-08-05 6:40,0,0,0,1.17,0
2020-08-05 6:50,0,0,0,1.17,0
2020-08-05 7:00,0,0,0,1.17,0
2020-08-05 7:10,0,0,0,1.17,0
2020-08-05 7:20,0,0,0,1.17,0
2020-08-05 7:30,0,0,0,1.17,0
2020-08-05 7:40,0,0,0,1.17,0
2020-08-05 7:50,0,0,1,1.17,0.061
2020-08-05 8:00,0,0,0,1.17,0
2020-08-05 8:10,0,0,0,1.17,0
2020-08-05 8:20,0,0,0,1.17,0
2020-08-05 8:30,0,0,0,1.17,0
2020-08-05 8:40,0,0,0,1.17,0
2020-08-05 8:50,0,0,0,1.17,0
2020-08-05 9:00,0,0,0,1.17,0
2020-08-05 9:10,0,0,0,1.17,0
2020-08-05 9:20,0,0,0,1.17,0
2020-08-05 9:30,0,0,0,1.17,0
2020-08-05 9:40,0,0,0,1.17,0
2020-08-05 9:50,0,0,0,1.17,0
2020-08-05 10:00,0,0,0,1.17,0
2020-08-05 10:10,1,0,1,1.17,0.549
2020-08-05 10:20,0,0,2,1.17,0.122
2020-08-05 10:30,0,0,0,1.17,0
2020-08-05 10:40,0,0,0,1.17,0
2020-08-05 10:50,0,0,0,1.17,0
2020-08-05 11:00,0,0,0,1.17,0
2020-08-05 11:10,0,0,0,1.17,0
2020-08-05 11:20,0,0,0,1.17,0
2020-08-05 11:30,0,0,0,1.17,0
2020-08-05 11:40,0,1,0,1.17,0.451
2020-08-05 11:50,0,0,0,1.17,0
2020-08-05 12:00,0,0,0,1.17,0
2020-08-05 12:10,0,0,0,1.17,0
2020-08-05 12:20,0,0,0,1.17,0
2020-08-05 12:30,0,0,0,1.17,0
2020-08-05 12:40,0,0,0,1.17,0
2020-08-05 12:50,0,0,0,1.17,0
2020-08-05 13:00,0,0,0,1.17,0
2020-08-05 13:10,0,0,0,1.17,0
2020-08-05 13:20,0,0,0,1.17,0
2020-08-05 13:30,0,1,0,1.17,0.451
2020-08-05 13:40,0,2,0,1.17,0.902
2020-08-05 13:50,10,3,0,1.17,6.233
2020-08-05 14:00,7,16,0,1.22,10.632
2020-08-05 14:10,11,1,0,1.31,5.819
2020-08-05 14:20,4,0,6,1.42,2.318
2020-08-05 14:30,0,0,8,1.5,0.488
2020-08-05 14:40,1,1,0,1.66,0.939
2020-08-05 14:50,2,0,0,1.79,0.976
2020-08-05 15:00,0,5,0,1.85,2.255
2020-08-05 15:10,0,0,0,1.83,0
2020-08-05 15:20,0,0,0,1.77,0
2020-08-05 15:30,0,0,0,1.71,0
2020-08-05 15:40,0,0,0,1.66,0
2020-08-05 15:50,0,0,0,1.62,0
2020-08-05 16:00,0,0,0,1.59,0
2020-08-05 16:10,0,0,0,1.56,0
2020-08-05 16:20,0,0,0,1.53,0
2020-08-05 16:30,0,0,0,1.49,0
2020-08-05 16:40,0,0,1,1.46,0.061
2020-08-05 16:50,0,0,1,1.43,0.061
2020-08-05 17:00,0,0,0,1.4,0
2020-08-05 17:10,0,0,0,1.39,0
2020-08-05 17:20,0,0,0,1.37,0
2020-08-05 17:30,0,0,0,1.36,0
2020-08-05 17:40,0,0,0,1.35,0
2020-08-05 17:50,0,0,0,1.34,0
2020-08-05 18:00,0,0,0,1.33,0
2020-08-05 18:10,0,0,0,1.33,0
2020-08-05 18:20,0,0,0,1.32,0
2020-08-05 18:30,0,0,0,1.32,0
2020-08-05 18:40,0,0,0,1.31,0
2020-08-05 18:50,0,0,0,1.3,0
2020-08-05 19:00,0,0,0,1.3,0
2020-08-05 19:10,0,0,0,1.29,0
2020-08-05 19:20,0,0,0,1.28,0
2020-08-05 19:30,0,0,0,1.28,0
2020-08-05 19:40,0,0,0,1.27,0
2020-08-05 19:50,0,0,0,1.27,0
2020-08-05 20:00,0,0,0,1.26,0
2020-08-05 20:10,0,0,0,1.26,0
2020-08-05 20:20,0,0,0,1.26,0
2020-08-05 20:30,0,0,0,1.25,0
2020-08-05 20:40,0,0,0,1.25,0
2020-08-05 20:50,0,0,0,1.25,0
2020-08-05 21:00,0,0,0,1.25,0
2020-08-05 21:10,0,0,0,1.25,0
2020-08-05 21:20,0,0,0,1.25,0
2020-08-05 21:30,0,0,0,1.24,0
2020-08-05 21:40,0,0,0,1.24,0
2020-08-05 21:50,0,0,0,1.24,0
2020-08-05 22:00,0,0,0,1.24,0
2020-08-05 22:10,0,0,0,1.24,0
2020-08-05 22:20,0,0,0,1.24,0
2020-08-05 22:30,0,0,0,1.23,0
2020-08-05 22:40,0,0,0,1.23,0
2020-08-05 22:50,0,0,0,1.23,0
2020-08-05 23:00,0,0,0,1.22,0
2020-08-05 23:10,0,0,0,1.22,0
2020-08-05 23:20,1,0,0,1.22,0.488
2020-08-05 23:30,1,0,1,1.22,0.549
2020-08-05 23:40,0,1,1,1.22,0.512
2020-08-05 23:50,0,0,0,1.22,0
2020-08-06 0:00,1,1,0,1.22,0.939
2020-08-06 0:10,2,0,3,1.22,1.159
2020-08-06 0:20,0,1,2,1.22,0.573
2020-08-06 0:30,0,0,0,1.22,0
2020-08-06 0:40,2,0,2,1.22,1.098
2020-08-06 0:50,0,1,1,1.22,0.512
2020-08-06 1:00,1,2,0,1.22,1.39
2020-08-06 1:10,0,1,2,1.24,0.573
2020-08-06 1:20,2,1,2,1.25,1.549
2020-08-06 1:30,1,1,2,1.27,1.061
2020-08-06 1:40,1,0,2,1.28,0.61
2020-08-06 1:50,1,0,2,1.3,0.61
2020-08-06 2:00,0,0,0,1.32,0
2020-08-06 2:10,0,0,2,1.33,0.122
2020-08-06 2:20,1,1,1,1.34,1
2020-08-06 2:30,1,0,2,1.34,0.61
2020-08-06 2:40,1,1,1,1.34,1
2020-08-06 2:50,3,2,4,1.34,2.61
2020-08-06 3:00,2,1,2,1.35,1.549
2020-08-06 3:10,2,5,4,1.36,3.475
2020-08-06 3:20,4,3,2,1.39,3.427
2020-08-06 3:30,2,3,2,1.42,2.451
2020-08-06 3:40,2,2,1,1.46,1.939
2020-08-06 3:50,0,1,0,1.51,0.451
2020-08-06 4:00,1,1,2,1.57,1.061
2020-08-06 4:10,2,2,2,1.63,2
2020-08-06 4:20,5,4,4,1.67,4.488
2020-08-06 4:30,4,6,6,1.69,5.024
2020-08-06 4:40,5,7,7,1.73,6.024
2020-08-06 4:50,2,4,7,1.81,3.207
2020-08-06 5:00,5,4,7,1.92,4.671
2020-08-06 5:10,5,3,6,2.04,4.159
2020-08-06 5:20,5,6,4,2.13,5.39
2020-08-06 5:30,6,6,4,2.19,5.878
2020-08-06 5:40,8,9,6,2.28,8.329
2020-08-06 5:50,10,6,7,2.4,8.013
2020-08-06 6:00,8,10,5,2.53,8.719
2020-08-06 6:10,9,12,8,2.7,10.292
2020-08-06 6:20,5,9,3,2.92,6.682
2020-08-06 6:30,3,6,4,3.13,4.414
2020-08-06 6:40,3,2,5,3.3,2.671
2020-08-06 6:50,3,1,2,3.4,2.037
