time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2021-08-31 5:40,0,0,0,0.84,0.49,0
2021-08-31 5:50,0,0,0,0.84,0.49,0
2021-08-31 6:00,0,0,0,0.83,0.43,0
2021-08-31 6:10,0,0,0,0.83,0.43,0
2021-08-31 6:20,0,0,0,0.83,0.43,0
2021-08-31 6:30,0,0,0,0.83,0.43,0
2021-08-31 6:40,0,0,0,0.83,0.43,0
2021-08-31 6:50,0,0,0,0.82,0.37,0
2021-08-31 7:00,0,0,0,0.82,0.37,0
2021-08-31 7:10,0,0,0,0.82,0.37,0
2021-08-31 7:20,0,0,0,0.82,0.37,0
2021-08-31 7:30,0,0,0,0.82,0.37,0
2021-08-31 7:40,0,0,0,0.81,0.32,0
2021-08-31 7:50,0,0,0,0.81,0.32,0
2021-08-31 8:00,0,0,0,0.81,0.32,0
2021-08-31 8:10,0,0,0,0.81,0.32,0
2021-08-31 8:20,0,0,0,0.81,0.32,0
2021-08-31 8:30,0,0,0,0.81,0.32,0
2021-08-31 8:40,0,0,0,0.81,0.32,0
2021-08-31 8:50,0,0,0,0.81,0.32,0
2021-08-31 9:00,0,0,0,0.81,0.32,0
2021-08-31 9:10,0,0,0,0.81,0.32,0
2021-08-31 9:20,0,0,0,0.81,0.32,0
2021-08-31 9:30,0,0,0,0.8,0.28,0
2021-08-31 9:40,0,0,0,0.8,0.28,0
2021-08-31 9:50,0,0,0,0.8,0.28,0
2021-08-31 10:00,0,0,0,0.8,0.28,0
2021-08-31 10:10,0,0,0,0.8,0.28,0
2021-08-31 10:20,0,0,0,0.8,0.28,0
2021-08-31 10:30,0,0,0,0.8,0.28,0
2021-08-31 10:40,0,0,0,0.8,0.28,0
2021-08-31 10:50,0,0,0,0.8,0.28,0
2021-08-31 11:00,0,0,0,0.81,0.32,0
2021-08-31 11:10,0,0,0,0.82,0.37,0
2021-08-31 11:20,0,0,0,0.83,0.43,0
2021-08-31 11:30,0,0,0,0.84,0.49,0
2021-08-31 11:40,0,0,0,0.85,0.56,0
2021-08-31 11:50,0,0,0,0.85,0.56,0
2021-08-31 12:00,0,0,1,0.86,0.63,0.061
2021-08-31 12:10,0,0,0,0.87,0.71,0
2021-08-31 12:20,0,0,0,0.87,0.71,0
2021-08-31 12:30,0,0,0,0.87,0.71,0
2021-08-31 12:40,0,0,0,0.87,0.71,0
2021-08-31 12:50,0,0,0,0.88,0.79,0
2021-08-31 13:00,0,0,0,0.88,0.79,0
2021-08-31 13:10,1,0,0,0.88,0.79,0.488
2021-08-31 13:20,0,1,0,0.88,0.79,0.451
2021-08-31 13:30,2,0,1,0.88,0.79,1.037
2021-08-31 13:40,0,0,1,0.88,0.79,0.061
2021-08-31 13:50,0,0,0,0.9,0.98,0
2021-08-31 14:00,1,0,1,0.91,1.08,0.549
2021-08-31 14:10,1,1,2,0.92,1.2,1.061
2021-08-31 14:20,0,0,0,0.92,1.2,0
2021-08-31 14:30,1,0,1,0.92,1.2,0.549
2021-08-31 14:40,1,2,1,0.93,1.32,1.451
2021-08-31 14:50,0,1,1,0.94,1.44,0.512
2021-08-31 15:00,1,0,0,0.96,1.72,0.488
2021-08-31 15:10,2,2,3,0.97,1.86,2.061
2021-08-31 15:20,2,1,2,0.99,2.17,1.549
2021-08-31 15:30,2,0,2,1.01,2.52,1.098
2021-08-31 15:40,1,1,2,1.03,2.9,1.061
2021-08-31 15:50,0,1,0,1.06,3.54,0.451
2021-08-31 16:00,1,1,2,1.07,3.77,1.061
2021-08-31 16:10,1,0,1,1.09,4.27,0.549
2021-08-31 16:20,1,1,1,1.1,4.54,1
2021-08-31 16:30,2,1,2,1.13,5.41,1.549
