time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2025-09-19 6:10,0,0,0,0.97,9.48,0
2025-09-19 6:20,0,0,0,0.97,9.48,0
2025-09-19 6:30,0,0,0,0.96,9.11,0
2025-09-19 6:40,0,0,0,0.96,9.11,0
2025-09-19 6:50,0,0,0,0.96,9.11,0
2025-09-19 7:00,0,0,0,0.96,9.11,0
2025-09-19 7:10,0,0,0,0.96,9.11,0
2025-09-19 7:20,0,0,0,0.96,9.11,0
2025-09-19 7:30,0,0,0,0.96,9.11,0
2025-09-19 7:40,0,0,0,0.96,9.11,0
2025-09-19 7:50,0,0,0,0.96,9.11,0
2025-09-19 8:00,0,0,0,0.96,9.11,0
2025-09-19 8:10,0,0,0,0.96,9.11,0
2025-09-19 8:20,0,0,0,0.96,9.11,0
2025-09-19 8:30,0,0,0,0.96,9.11,0
2025-09-19 8:40,0,0,0,0.96,9.11,0
2025-09-19 8:50,0,0,0,0.96,9.11,0
2025-09-19 9:00,0,0,0,0.96,9.11,0
2025-09-19 9:10,0,0,0,0.96,9.11,0
2025-09-19 9:20,0,0,0,0.96,9.11,0
2025-09-19 9:30,0,0,0,0.96,9.11,0
2025-09-19 9:40,0,0,0,0.96,9.11,0
2025-09-19 9:50,0,0,0,0.96,9.11,0
2025-09-19 10:00,0,0,0,0.96,9.11,0
2025-09-19 10:10,0,0,0,0.96,9.11,0
2025-09-19 10:20,0,0,0,0.96,9.11,0
2025-09-19 10:30,0,0,0,0.97,9.48,0
2025-09-19 10:40,0,0,0,0.97,9.48,0
2025-09-19 10:50,0,0,0,0.97,9.48,0
2025-09-19 11:00,0,0,0,0.97,9.48,0
2025-09-19 11:10,0,0,0,0.97,9.48,0
2025-09-19 11:20,0,0,0,0.97,9.48,0
2025-09-19 11:30,0,0,0,0.97,9.48,0
2025-09-19 11:40,0,0,0,0.97,9.48,0
2025-09-19 11:50,0,0,0,0.97,9.48,0
2025-09-19 12:00,0,0,0,0.97,9.48,0
2025-09-19 12:10,1,0,0,0.97,9.48,0.488
2025-09-19 12:20,0,0,0,0.97,9.48,0
2025-09-19 12:30,0,0,0,0.97,9.48,0
2025-09-19 12:40,0,0,0,0.97,9.48,0
2025-09-19 12:50,0,0,0,0.97,9.48,0
2025-09-19 13:00,0,0,1,0.97,9.48,0.061
2025-09-19 13:10,0,0,0,0.97,9.48,0
2025-09-19 13:20,0,0,0,0.97,9.48,0
2025-09-19 13:30,0,0,0,0.97,9.48,0
2025-09-19 13:40,0,1,0,0.97,9.48,0.451
2025-09-19 13:50,0,0,0,0.97,9.48,0
2025-09-19 14:00,0,0,0,0.97,9.48,0
2025-09-19 14:10,0,0,0,0.97,9.48,0
2025-09-19 14:20,0,0,0,0.97,9.48,0
