time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti
2017-07-15 4:50,5,0,0,3,1,7,1.91,1,2.909,2.342
2017-07-15 5:00,4,2,0,2,4,8,1.91,1.03,4.046,3.268
2017-07-15 5:10,12,4,1,6,1,4,1.91,1.07,5.013,3.623
2017-07-15 5:20,5,3,3,1,2,0,1.95,1.11,2.296,1.39
2017-07-15 5:30,1,4,2,0,2,1,2,1.16,2.186,0.963
2017-07-15 5:40,1,1,2,1,0,0,2.08,1.21,0.64,0.488
2017-07-15 5:50,0,0,0,0,0,0,2.18,1.29,0,0
2017-07-15 6:00,0,1,0,0,0,0,2.28,1.39,0.373,0
2017-07-15 6:10,0,0,1,0,0,0,2.37,1.43,0.016,0
2017-07-15 6:20,0,0,0,1,0,0,2.45,1.44,0.074,0.488
2017-07-15 6:30,0,0,0,0,1,0,2.53,1.43,0.125,0.451
2017-07-15 6:40,0,0,0,0,1,0,2.72,1.41,0.125,0.451
2017-07-15 6:50,0,0,0,0,0,0,2.79,1.38,0,0
2017-07-15 7:00,0,0,0,0,0,0,2.79,1.36,0,0
2017-07-15 7:10,0,0,0,0,0,0,2.8,1.35,0,0
2017-07-15 7:20,0,0,0,0,0,0,2.79,1.34,0,0
2017-07-15 7:30,0,0,0,0,0,0,2.79,1.34,0,0
2017-07-15 7:40,0,0,0,0,0,0,2.78,1.33,0,0
2017-07-15 7:50,0,0,0,0,0,0,2.77,1.32,0,0
2017-07-15 8:00,0,0,0,0,0,0,2.76,1.3,0,0
2017-07-15 8:10,0,0,0,0,0,0,2.73,1.29,0,0
2017-07-15 8:20,0,0,0,0,0,0,2.7,1.27,0,0
2017-07-15 8:30,0,0,0,0,0,0,2.66,1.25,0,0
2017-07-15 8:40,0,0,0,0,0,0,2.62,1.23,0,0
2017-07-15 8:50,0,0,0,0,1,0,2.57,1.22,0.125,0.451
2017-07-15 9:00,0,0,0,0,0,0,2.53,1.2,0,0
2017-07-15 9:10,0,0,0,0,0,0,2.49,1.19,0,0
2017-07-15 9:20,0,0,0,0,0,0,2.45,1.18,0,0
2017-07-15 9:30,0,0,0,0,0,0,2.42,1.17,0,0
2017-07-15 9:40,0,0,0,0,0,0,2.39,1.16,0,0
2017-07-15 9:50,0,0,0,0,0,0,2.36,1.15,0,0
2017-07-15 10:00,0,0,0,0,0,0,2.34,1.14,0,0
2017-07-15 10:10,0,0,0,0,0,0,2.31,1.14,0,0
2017-07-15 10:20,0,0,0,0,0,0,2.29,1.13,0,0
2017-07-15 10:30,0,0,0,0,0,0,2.27,1.13,0,0
2017-07-15 10:40,0,0,0,0,0,0,2.25,1.12,0,0
2017-07-15 10:50,0,0,0,0,0,0,2.24,1.12,0,0
2017-07-15 11:00,0,0,0,0,0,0,2.22,1.11,0,0
2017-07-15 11:10,0,0,0,0,0,0,2.21,1.11,0,0
2017-07-15 11:20,0,0,0,0,0,0,2.19,1.11,0,0
2017-07-15 11:30,0,0,0,0,0,0,2.18,1.1,0,0
2017-07-15 11:40,0,0,0,0,0,0,2.17,1.1,0,0
2017-07-15 11:50,0,0,0,0,0,0,2.16,1.1,0,0
2017-07-15 12:00,0,0,0,0,0,0,2.15,1.1,0,0
2017-07-15 12:10,0,0,0,1,1,1,2.14,1.09,0.45,1
2017-07-15 12:20,0,0,0,0,0,0,2.13,1.09,0,0
2017-07-15 12:30,0,1,0,0,0,0,2.12,1.09,0.373,0
2017-07-15 12:40,0,0,1,0,1,0,2.11,1.09,0.141,0.451
2017-07-15 12:50,0,0,1,0,0,0,2.1,1.09,0.016,0
2017-07-15 13:00,0,0,0,1,1,0,2.1,1.09,0.199,0.939
2017-07-15 13:10,0,0,0,1,0,0,2.09,1.09,0.074,0.488
2017-07-15 13:20,0,0,0,0,0,0,2.09,1.1,0,0
2017-07-15 13:30,0,0,0,0,1,0,2.08,1.1,0.125,0.451
2017-07-15 13:40,1,0,0,3,2,1,2.08,1.1,0.884,2.427
2017-07-15 13:50,2,0,1,1,6,1,2.07,1.11,1.413,3.255
2017-07-15 14:00,2,1,3,1,3,0,2.07,1.13,1.192,1.841
2017-07-15 14:10,3,1,2,1,2,0,2.07,1.16,1.212,1.39
2017-07-15 14:20,6,2,6,0,3,0,2.07,1.22,2.183,1.353
2017-07-15 14:30,2,0,3,0,3,0,2.07,1.38,0.745,1.353
2017-07-15 14:40,0,0,2,0,1,0,2.08,1.52,0.157,0.451
2017-07-15 14:50,0,0,0,1,0,0,2.1,1.64,0.074,0.488
2017-07-15 15:00,0,1,1,0,0,0,2.11,1.72,0.389,0
2017-07-15 15:10,0,0,0,0,0,0,2.12,1.73,0,0
2017-07-15 15:20,0,0,0,0,0,0,2.13,1.7,0,0
2017-07-15 15:30,0,0,0,0,1,0,2.15,1.64,0.125,0.451
2017-07-15 15:40,0,0,0,0,0,1,2.16,1.57,0.251,0.061
2017-07-15 15:50,0,0,0,0,0,0,2.17,1.51,0,0
2017-07-15 16:00,0,0,1,0,0,0,2.2,1.46,0.016,0
2017-07-15 16:10,0,0,0,0,0,0,2.27,1.43,0,0
2017-07-15 16:20,0,0,0,0,0,0,2.41,1.41,0,0
2017-07-15 16:30,0,0,0,0,0,0,2.75,1.4,0,0
2017-07-15 16:40,0,0,0,0,0,0,2.79,1.38,0,0
2017-07-15 16:50,0,0,0,0,0,0,2.79,1.37,0,0
2017-07-15 17:00,0,0,0,0,0,0,2.78,1.36,0,0
2017-07-15 17:10,0,0,0,0,0,0,2.76,1.34,0,0
2017-07-15 17:20,0,0,0,0,0,0,2.74,1.33,0,0
2017-07-15 17:30,0,0,0,0,0,0,2.7,1.32,0,0
2017-07-15 17:40,0,0,0,0,0,0,2.66,1.3,0,0
2017-07-15 17:50,0,0,0,0,0,0,2.61,1.28,0,0
2017-07-15 18:00,0,0,0,0,0,0,2.57,1.26,0,0
2017-07-15 18:10,0,0,0,0,0,0,2.54,1.25,0,0
2017-07-15 18:20,0,0,0,0,0,0,2.51,1.24,0,0
2017-07-15 18:30,0,0,0,0,0,0,2.5,1.23,0,0
2017-07-15 18:40,0,0,0,0,0,0,2.48,1.22,0,0
2017-07-15 18:50,0,0,0,0,0,0,2.46,1.21,0,0
2017-07-15 19:00,0,0,0,0,0,0,2.43,1.2,0,0
2017-07-15 19:10,0,0,0,0,0,0,2.4,1.2,0,0
2017-07-15 19:20,0,0,0,0,0,0,2.37,1.19,0,0
2017-07-15 19:30,1,0,0,0,0,0,2.34,1.18,0.161,0
2017-07-15 19:40,0,1,0,0,0,0,2.32,1.18,0.373,0
2017-07-15 19:50,0,0,1,0,0,0,2.29,1.17,0.016,0
2017-07-15 20:00,0,0,0,0,0,0,2.27,1.17,0,0
2017-07-15 20:10,0,0,0,0,0,0,2.25,1.16,0,0
2017-07-15 20:20,0,0,0,1,0,1,2.23,1.16,0.325,0.549
2017-07-15 20:30,0,0,0,0,0,0,2.21,1.16,0,0
2017-07-15 20:40,1,1,1,0,1,0,2.2,1.15,0.675,0.451
2017-07-15 20:50,0,0,0,0,0,0,2.18,1.15,0,0
2017-07-15 21:00,0,0,0,0,0,0,2.17,1.15,0,0
