time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2017-07-22 14:50,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:00,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:10,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:20,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:30,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:40,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 15:50,0,0,0,0,0,0,0.98,2.01,1.91,13.1,0,0,0,0
2017-07-22 16:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 16:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 16:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 16:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 16:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 16:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 17:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 18:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 19:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0,0
2017-07-22 20:50,0,0,1,0,0,0,0.98,2.01,1.92,13.96,0.016,0,0.016,0
2017-07-22 21:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.016,0
2017-07-22 21:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.016,0
2017-07-22 21:20,0,1,1,0,0,0,0.98,2.01,1.92,13.96,0.389,0,0.405,0
2017-07-22 21:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 21:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 21:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 22:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:30,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:40,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-22 23:50,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-23 0:00,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-23 0:10,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
2017-07-23 0:20,0,0,0,0,0,0,0.98,2.01,1.92,13.96,0,0,0.405,0
