time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-14 17:20,0,0,0,0,0,0,1.13,5.41,2.13,25.08,0,0,0,0
2020-08-14 17:30,0,0,0,0,0,0,1.13,5.41,2.13,25.08,0,0,0,0
2020-08-14 17:40,0,0,0,0,0,0,1.13,5.41,2.13,25.08,0,0,0,0
2020-08-14 17:50,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:00,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:10,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:20,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:30,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:40,0,0,0,0,0,0,1.12,5.11,2.12,24.16,0,0,0,0
2020-08-14 18:50,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:00,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:10,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:20,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:30,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:40,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 19:50,0,0,0,0,0,0,1.12,5.11,2.11,23.26,0,0,0,0
2020-08-14 20:00,0,0,0,0,0,0,1.11,4.82,2.11,23.26,0,0,0,0
2020-08-14 20:10,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 20:20,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 20:30,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 20:40,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 20:50,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:00,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:10,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:20,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:30,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:40,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 21:50,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 22:00,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 22:10,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0,0
2020-08-14 22:20,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 22:30,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 22:40,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 22:50,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 23:00,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 23:10,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0,0
2020-08-14 23:20,0,0,2,0,0,0,1.11,4.82,2.1,23.26,0.032,0,0.032,0
2020-08-14 23:30,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0.032,0
2020-08-14 23:40,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.032,0
2020-08-14 23:50,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.032,0
2020-08-15 0:00,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0.032,0
2020-08-15 0:10,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0.032,0
2020-08-15 0:20,0,0,0,0,0,0,1.11,4.82,2.1,23.26,0,0,0.032,0
2020-08-15 0:30,0,0,0,0,1,0,1.11,4.82,2.09,22.38,0.125,0.451,0.157,0.451
2020-08-15 0:40,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 0:50,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:00,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:10,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:20,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:30,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:40,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 1:50,0,0,0,0,0,0,1.11,4.82,2.09,22.38,0,0,0.157,0.451
2020-08-15 2:00,0,0,0,0,0,0,1.11,4.82,2.08,21.51,0,0,0.157,0.451
2020-08-15 2:10,0,0,0,0,0,0,1.11,4.82,2.08,21.51,0,0,0.157,0.451
2020-08-15 2:20,1,0,1,0,0,0,1.11,4.82,2.08,21.51,0.177,0,0.334,0.451
2020-08-15 2:30,0,0,0,0,0,0,1.11,4.82,2.08,21.51,0,0,0.334,0.451
2020-08-15 2:40,0,0,0,0,0,0,1.11,4.82,2.07,20.67,0,0,0.334,0.451
2020-08-15 2:50,0,0,0,0,0,0,1.11,4.82,2.07,20.67,0,0,0.334,0.451
2020-08-15 3:00,0,0,0,0,0,0,1.1,4.54,2.07,20.67,0,0,0.334,0.451
2020-08-15 3:10,1,0,1,0,0,0,1.1,4.54,2.07,20.67,0.177,0,0.511,0.451
2020-08-15 3:20,0,0,0,0,0,0,1.1,4.54,2.07,20.67,0,0,0.511,0.451
2020-08-15 3:30,0,0,0,0,0,0,1.1,4.54,2.07,20.67,0,0,0.511,0.451
2020-08-15 3:40,0,0,0,0,0,0,1.1,4.54,2.07,20.67,0,0,0.511,0.451
2020-08-15 3:50,0,0,0,0,0,0,1.1,4.54,2.06,19.84,0,0,0.511,0.451
2020-08-15 4:00,0,0,0,0,0,0,1.1,4.54,2.07,20.67,0,0,0.511,0.451
2020-08-15 4:10,0,1,0,0,0,0,1.1,4.54,2.06,19.84,0.373,0,0.884,0.451
2020-08-15 4:20,0,0,0,0,0,1,1.09,4.27,2.07,20.67,0.251,0.061,1.135,0.512
2020-08-15 4:30,5,1,3,5,0,2,1.09,4.27,2.07,20.67,2.098,2.562,3.233,3.074
2020-08-15 4:40,0,0,2,3,4,3,1.09,4.27,2.08,21.51,1.507,3.451,4.74,6.525
2020-08-15 4:50,0,1,0,2,3,1,1.11,4.82,2.08,21.51,1.147,2.39,5.887,8.915
2020-08-15 5:00,1,1,1,1,1,0,1.15,6.05,2.08,21.51,0.749,0.939,6.636,9.854
2020-08-15 5:10,0,0,0,1,5,1,1.19,7.48,2.08,21.51,0.95,2.804,7.586,12.658
2020-08-15 5:20,0,0,0,5,3,0,1.2,7.87,2.08,21.51,0.745,3.793,8.331,16.451
2020-08-15 5:30,0,0,0,3,5,2,1.21,8.28,2.08,21.51,1.349,3.841,9.68,20.292
2020-08-15 5:40,1,1,0,7,8,3,1.32,13.7,2.09,22.38,2.805,7.207,12.485,27.499
2020-08-15 5:50,3,1,5,1,7,1,1.5,26.05,2.11,23.26,2.136,3.706,14.621,31.205
2020-08-15 6:00,0,0,2,1,2,0,1.64,39.32,2.14,26.02,0.356,1.39,14.977,32.595
2020-08-15 6:10,1,1,0,0,0,0,1.82,60.91,2.17,27.95,0.534,0,15.511,32.595
2020-08-15 6:20,2,0,0,0,0,0,1.97,76.69,2.22,32.03,0.322,0,15.833,32.595
2020-08-15 6:30,4,0,0,0,0,0,2.07,88.16,2.33,42.31,0.644,0,16.477,32.595
2020-08-15 6:40,2,0,4,3,0,1,2.09,90.54,2.46,56.28,0.859,1.525,17.336,34.12
2020-08-15 6:50,6,4,5,10,2,3,2.06,86.98,2.61,69.99,4.281,5.965,21.617,40.085
2020-08-15 7:00,4,5,9,4,5,4,1.96,75.59,2.79,87.73,4.578,4.451,26.195,44.536
2020-08-15 7:10,11,5,10,3,6,4,1.86,64.95,3,111.75,5.772,4.414,31.967,48.95
2020-08-15 7:20,3,7,12,2,2,1,1.8,58.93,3.25,143.42,3.935,1.939,35.902,50.889
2020-08-15 7:30,1,0,1,1,1,1,1.77,54.87,3.48,176.89,0.627,1,36.529,51.889
2020-08-15 7:40,0,1,1,0,0,1,1.76,53.56,3.66,203.62,0.64,0.061,37.169,51.95
2020-08-15 7:50,1,0,0,0,0,0,1.84,62.91,3.78,223.78,0.161,0,37.33,51.95
2020-08-15 8:00,0,1,1,1,2,1,1.92,71.24,3.84,234.19,0.964,1.451,38.294,53.401
2020-08-15 8:10,1,1,1,0,1,0,1.94,73.4,3.83,232.09,0.675,0.451,38.969,53.852
2020-08-15 8:20,0,0,0,0,0,0,1.9,69.11,3.77,221.73,0,0,38.969,53.852
2020-08-15 8:30,0,0,0,0,0,0,1.83,61.9,3.68,207.58,0,0,38.969,53.852
