time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2022-08-07 21:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 21:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 21:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 21:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 21:50,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:00,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 22:50,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:00,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-07 23:50,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:00,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 0:50,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:00,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 1:50,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:00,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:10,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:20,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:30,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:40,0,0,0,0,0,0,2.18,1.06,0,0,0,0
2022-08-08 2:50,0,0,0,0,0,0,2.18,1.05,0,0,0,0
2022-08-08 3:00,0,0,0,0,0,0,2.18,1.05,0,0,0,0
2022-08-08 3:10,0,0,0,0,0,0,2.18,1.05,0,0,0,0
2022-08-08 3:20,0,0,0,0,0,0,2.17,1.05,0,0,0,0
2022-08-08 3:30,0,0,0,0,0,0,2.17,1.05,0,0,0,0
2022-08-08 3:40,0,0,0,0,0,0,2.17,1.05,0,0,0,0
2022-08-08 3:50,0,0,0,0,0,0,2.17,1.05,0,0,0,0
2022-08-08 4:00,0,0,0,0,0,0,2.17,1.05,0,0,0,0
2022-08-08 4:10,0,0,0,0,0,0,2.17,1.04,0,0,0,0
2022-08-08 4:20,0,0,0,0,0,0,2.17,1.04,0,0,0,0
2022-08-08 4:30,0,0,0,0,0,0,2.17,1.04,0,0,0,0
2022-08-08 4:40,0,0,0,0,0,0,2.17,1.03,0,0,0,0
2022-08-08 4:50,0,0,0,0,0,0,2.16,1.03,0,0,0,0
2022-08-08 5:00,0,0,0,0,0,0,2.16,1.03,0,0,0,0
2022-08-08 5:10,0,0,0,0,0,0,2.16,1.02,0,0,0,0
2022-08-08 5:20,0,0,0,0,0,0,2.16,1.02,0,0,0,0
2022-08-08 5:30,0,0,0,0,0,0,2.16,1.02,0,0,0,0
2022-08-08 5:40,0,0,0,0,0,0,2.16,1.01,0,0,0,0
2022-08-08 5:50,0,0,0,0,0,0,2.16,1.01,0,0,0,0
2022-08-08 6:00,0,0,0,0,0,0,2.16,1.01,0,0,0,0
2022-08-08 6:10,0,0,0,0,0,0,2.16,1.01,0,0,0,0
2022-08-08 6:20,0,0,0,0,0,0,2.16,1,0,0,0,0
2022-08-08 6:30,0,0,0,0,0,0,2.16,1,0,0,0,0
2022-08-08 6:40,0,0,1,0,0,0,2.16,1,0.016,0,0.016,0
2022-08-08 6:50,0,0,0,0,0,0,2.16,1,0,0,0.016,0
2022-08-08 7:00,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 7:10,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 7:20,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 7:30,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 7:40,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 7:50,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:00,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:10,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:20,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:30,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:40,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 8:50,0,0,0,0,0,0,2.15,0.99,0,0,0.016,0
2022-08-08 9:00,0,0,1,0,0,0,2.15,0.99,0.016,0,0.032,0
2022-08-08 9:10,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 9:20,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 9:30,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 9:40,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 9:50,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 10:00,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 10:10,0,0,0,0,0,0,2.15,0.99,0,0,0.032,0
2022-08-08 10:20,0,0,0,0,0,0,2.15,1,0,0,0.032,0
2022-08-08 10:30,0,0,0,0,0,0,2.15,1,0,0,0.032,0
2022-08-08 10:40,0,0,0,0,0,0,2.15,1.01,0,0,0.032,0
2022-08-08 10:50,0,0,0,0,0,0,2.15,1.01,0,0,0.032,0
2022-08-08 11:00,0,0,0,0,0,0,2.15,1.02,0,0,0.032,0
2022-08-08 11:10,0,0,0,0,0,0,2.15,1.02,0,0,0.032,0
2022-08-08 11:20,0,0,0,0,0,0,2.15,1.02,0,0,0.032,0
2022-08-08 11:30,0,0,0,0,0,0,2.15,1.02,0,0,0.032,0
2022-08-08 11:40,0,0,0,0,0,0,2.15,1.02,0,0,0.032,0
2022-08-08 11:50,0,0,1,0,0,0,2.15,1.02,0.016,0,0.048,0
2022-08-08 12:00,0,0,0,0,0,0,2.15,1.03,0,0,0.048,0
2022-08-08 12:10,0,0,0,0,0,0,2.15,1.03,0,0,0.048,0
2022-08-08 12:20,0,0,0,0,1,0,2.15,1.03,0.125,0.451,0.173,0.451
2022-08-08 12:30,1,1,1,1,0,1,2.15,1.03,0.875,0.549,1.048,1
2022-08-08 12:40,1,1,1,0,0,0,2.15,1.03,0.55,0,1.598,1
2022-08-08 12:50,13,5,3,1,1,1,2.15,1.03,4.456,1,6.054,2
2022-08-08 13:00,8,15,16,2,0,4,2.17,1.03,8.291,1.22,14.345,3.22
2022-08-08 13:10,9,12,14,2,2,11,2.22,1.03,9.308,2.549,23.653,5.769
2022-08-08 13:20,10,12,14,8,4,10,2.27,1.05,9.912,6.318,33.565,12.087
2022-08-08 13:30,10,11,11,16,7,5,2.42,1.12,9.203,11.27,42.768,23.357
2022-08-08 13:40,0,2,5,6,11,2,3.24,1.26,3.147,8.011,45.915,31.368
2022-08-08 13:50,1,1,1,2,5,1,3.64,1.44,1.574,3.292,47.489,34.66
2022-08-08 14:00,0,0,1,0,0,1,3.8,1.49,0.267,0.061,47.756,34.721
2022-08-08 14:10,1,1,0,1,1,1,3.82,1.58,0.984,1,48.74,35.721
