time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2023-07-11 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.12,11.48,0.0,0.0
2023-07-11 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,11.48,0.0,0.0
2023-07-11 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,10.91,0.0,0.0
2023-07-11 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,10.91,0.0,0.0
2023-07-11 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,10.91,0.0,0.0
2023-07-11 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,10.35,0.0,0.0
2023-07-11 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.66,2.11,10.35,0.0,0.0
2023-07-11 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,5.33,2.10,9.80,0.0,0.0
