time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),대곡교_Ti,궁내교_Ti,성남시(궁내교)_WL,서울시(대곡교)_WL,성남시(궁내교)_Q,서울시(대곡교)_Q,대곡교_누적강우,궁내교_누적강우
2025-07-16 11:10,0,0,0,0,0,0,0,0,0.74,1.8,2.53,7.59,0,0
2025-07-16 11:20,0,0,0,0,0,0,0,0,0.75,1.8,2.75,7.59,0,0
2025-07-16 11:30,0,0,0,0,0,0,0,0,0.75,1.8,2.75,7.59,0,0
2025-07-16 11:40,0,0,0,0,0,0,0,0,0.76,1.8,2.98,7.59,0,0
2025-07-16 11:50,0,0,0,0,0,0,0,0,0.77,1.8,3.22,7.59,0,0
2025-07-16 12:00,0,0,0,0,0,0,0,0,0.77,1.8,3.22,7.59,0,0
2025-07-16 12:10,0,0,0,0,0,0,0,0,0.78,1.8,3.46,7.59,0,0
2025-07-16 12:20,0,0,0,0,0,0,0,0,0.78,1.8,3.46,7.59,0,0
2025-07-16 12:30,0,0,0,0,0,0,0,0,0.78,1.8,3.46,7.59,0,0
2025-07-16 12:40,0,0,0,0,0,0,0,0,0.78,1.8,3.46,7.59,0,0
2025-07-16 12:50,0,0,0,1,0,0,0.074,0.488,0.79,1.8,3.72,7.59,0.074,0.488
2025-07-16 13:00,0,0,1,0,0,0,0.016,0,0.79,1.8,3.72,7.59,0.09,0.488
2025-07-16 13:10,0,0,0,0,0,0,0,0,0.79,1.8,3.72,7.59,0.09,0.488
2025-07-16 13:20,0,0,0,0,1,0,0.125,0.451,0.79,1.8,3.72,7.59,0.215,0.939
2025-07-16 13:30,0,0,0,0,0,1,0.251,0.061,0.79,1.8,3.72,7.59,0.466,1
2025-07-16 13:40,0,0,0,0,0,0,0,0,0.79,1.8,3.72,7.59,0.466,1
2025-07-16 13:50,0,0,0,0,0,0,0,0,0.79,1.8,3.72,7.59,0.466,1
2025-07-16 14:00,0,0,0,0,0,0,0,0,0.79,1.8,3.72,7.59,0.466,1
2025-07-16 14:10,0,0,0,1,0,0,0.074,0.488,0.79,1.8,3.72,7.59,0.54,1.488
2025-07-16 14:20,0,0,0,0,1,0,0.125,0.451,0.79,1.8,3.72,7.59,0.665,1.939
2025-07-16 14:30,0,0,0,1,0,0,0.074,0.488,0.79,1.8,3.72,7.59,0.739,2.427
2025-07-16 14:40,0,1,1,0,0,0,0.389,0,0.79,1.8,3.72,7.59,1.128,2.427
2025-07-16 14:50,0,0,0,0,0,1,0.251,0.061,0.79,1.8,3.72,7.59,1.379,2.488
2025-07-16 15:00,0,0,0,0,0,0,0,0,0.79,1.8,3.72,7.59,1.379,2.488
2025-07-16 15:10,0,0,0,0,1,0,0.125,0.451,0.79,1.8,3.72,7.59,1.504,2.939
2025-07-16 15:20,0,0,0,1,0,0,0.074,0.488,0.79,1.8,3.72,7.59,1.578,3.427
2025-07-16 15:30,1,1,1,1,1,1,1,1,0.79,1.8,3.72,7.59,2.578,4.427
2025-07-16 15:40,1,0,0,1,1,1,0.611,1,0.79,1.8,3.72,7.59,3.189,5.427
2025-07-16 15:50,0,1,1,0,1,1,0.765,0.512,0.79,1.8,3.72,7.59,3.954,5.939
2025-07-16 16:00,1,0,1,2,0,0,0.325,0.976,0.8,1.8,3.98,7.59,4.279,6.915
2025-07-16 16:10,1,1,0,0,2,1,1.035,0.963,0.81,1.8,4.24,7.59,5.314,7.878
2025-07-16 16:20,0,1,1,1,1,1,0.839,1,0.82,1.8,4.52,7.59,6.153,8.878
2025-07-16 16:30,1,1,1,2,1,1,1.074,1.488,0.84,1.8,5.09,7.59,7.227,10.366
2025-07-16 16:40,1,1,1,1,1,2,1.251,1.061,0.86,1.81,5.69,8.01,8.478,11.427
2025-07-16 16:50,1,1,2,1,1,1,1.016,1,0.89,1.81,6.64,8.01,9.494,12.427
2025-07-16 17:00,1,1,0,1,0,0,0.608,0.488,0.91,1.82,7.31,8.44,10.102,12.915
2025-07-16 17:10,0,0,1,0,1,1,0.392,0.512,0.95,1.83,8.73,8.88,10.494,13.427
2025-07-16 17:20,1,1,0,0,1,1,0.91,0.512,1,1.84,10.66,9.33,11.404,13.939
2025-07-16 17:30,1,1,1,1,0,1,0.875,0.549,1.07,1.84,13.61,9.33,12.279,14.488
2025-07-16 17:40,1,1,1,1,1,1,1,1,1.13,1.85,16.38,9.79,13.279,15.488
2025-07-16 17:50,2,2,2,1,1,3,2.052,1.122,1.17,1.87,18.35,10.73,15.331,16.61
2025-07-16 18:00,2,1,2,2,2,1,1.376,1.939,1.2,1.88,19.88,11.21,16.707,18.549
2025-07-16 18:10,0,1,1,4,5,2,1.812,4.329,1.23,1.91,21.47,12.71,18.519,22.878
2025-07-16 18:20,4,3,3,3,5,4,3.662,3.963,1.29,1.94,24.8,14.28,22.181,26.841
2025-07-16 18:30,3,2,2,2,5,4,3.038,3.475,1.39,1.98,30.51,16.48,25.219,30.316
2025-07-16 18:40,5,3,3,3,4,6,4.2,3.634,1.44,2.02,33.6,18.81,29.419,33.95
2025-07-16 18:50,2,3,3,7,4,4,3.511,5.464,1.55,2.08,41.05,22.52,32.93,39.414
2025-07-16 19:00,3,4,2,3,1,4,3.358,2.159,1.78,2.13,59.76,25.81,36.288,41.573
2025-07-16 19:10,4,5,6,3,1,4,3.956,2.159,1.95,2.28,76.5,36.72,40.244,43.732
2025-07-16 19:20,3,3,3,1,0,4,2.728,0.732,2.01,2.91,83.03,112.01,42.972,44.464
2025-07-16 19:30,4,5,4,3,1,2,3.422,2.037,2.03,3.12,85.29,143.74,46.394,46.501
2025-07-16 19:40,5,4,4,1,0,2,2.937,0.61,2.03,3.33,85.29,177.13,49.331,47.111
2025-07-16 19:50,2,3,3,0,0,0,1.489,0,1.97,3.52,78.64,209.45,50.82,47.111
2025-07-16 20:00,0,1,0,1,0,0,0.447,0.488,1.88,3.66,69.3,234.61,51.267,47.599
2025-07-16 20:10,1,2,2,0,0,1,1.19,0.061,1.79,3.75,60.68,251.39,52.457,47.66
2025-07-16 20:20,2,0,1,0,1,0,0.463,0.451,1.7,3.79,52.76,258.99,52.92,48.111
2025-07-16 20:30,0,0,0,0,0,0,0,0,1.61,3.76,45.52,253.28,52.92,48.111
2025-07-16 20:40,0,0,0,3,0,5,1.477,1.769,1.54,3.69,40.34,240.16,54.397,49.88
2025-07-16 20:50,0,4,0,1,0,2,2.068,0.61,1.48,3.59,36.2,221.89,56.465,50.49
2025-07-16 21:00,0,0,1,0,0,0,0.016,0,1.43,3.47,32.97,200.73,56.481,50.49
2025-07-16 21:10,1,0,0,0,0,0,0.161,0,1.39,3.36,30.51,182.09,56.642,50.49
2025-07-16 21:20,0,0,0,0,0,0,0,0,1.36,3.26,28.75,165.78,56.642,50.49
2025-07-16 21:30,0,1,0,0,0,0,0.373,0,1.32,3.18,26.5,153.17,57.015,50.49
2025-07-16 21:40,0,0,0,0,0,0,0,0,1.29,3.11,24.8,142.17,57.015,50.49
2025-07-16 21:50,0,0,0,0,0,0,0,0,1.25,3.04,22.56,131.34,57.015,50.49
2025-07-16 22:00,0,0,1,0,0,0,0.016,0,1.23,2.98,21.47,122.29,57.031,50.49
2025-07-16 22:10,0,0,0,0,0,0,0,0,1.2,2.92,19.88,113.46,57.031,50.49
2025-07-16 22:20,0,0,0,0,0,0,0,0,1.18,2.85,18.85,103.45,57.031,50.49
