time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,서울시(대곡교)_WL,대곡교_Ti,궁내교_Ti
2025-08-14 0:10,0,0,0,0,0,0,0.98,2.29,0,0
2025-08-14 0:20,0,0,0,0,0,0,0.97,2.28,0,0
2025-08-14 0:30,0,0,0,0,0,0,0.96,2.27,0,0
2025-08-14 0:40,0,0,0,0,0,0,0.96,2.26,0,0
2025-08-14 0:50,0,0,0,0,0,0,0.95,2.25,0,0
2025-08-14 1:00,0,0,0,0,0,0,0.95,2.24,0,0
2025-08-14 1:10,0,0,0,1,0,0,0.94,2.23,0.074,0.488
2025-08-14 1:20,0,0,0,1,0,0,0.94,2.22,0.074,0.488
2025-08-14 1:30,0,0,1,0,0,0,0.94,2.22,0.016,0
2025-08-14 1:40,0,1,1,1,0,0,0.93,2.21,0.463,0.488
2025-08-14 1:50,0,0,0,0,0,1,0.93,2.2,0.251,0.061
2025-08-14 2:00,0,1,1,1,1,2,0.92,2.19,1.09,1.061
2025-08-14 2:10,4,1,2,1,1,1,0.92,2.19,1.499,1
2025-08-14 2:20,2,1,2,1,0,1,0.92,2.18,1.052,0.549
2025-08-14 2:30,1,1,1,0,0,1,0.92,2.17,0.801,0.061
2025-08-14 2:40,1,1,1,0,1,1,0.92,2.17,0.926,0.512
2025-08-14 2:50,0,0,0,1,0,0,0.92,2.17,0.074,0.488
2025-08-14 3:00,1,0,1,0,0,0,0.92,2.16,0.177,0
2025-08-14 3:10,0,0,0,0,0,0,0.92,2.16,0,0
2025-08-14 3:20,0,0,0,0,0,0,0.92,2.16,0,0
2025-08-14 3:30,0,1,0,0,0,0,0.92,2.16,0.373,0
2025-08-14 3:40,0,0,0,0,0,1,0.92,2.15,0.251,0.061
2025-08-14 3:50,0,0,0,0,1,0,0.91,2.15,0.125,0.451
2025-08-14 4:00,0,0,1,1,0,1,0.91,2.15,0.341,0.549
2025-08-14 4:10,1,1,0,0,0,0,0.91,2.15,0.534,0
2025-08-14 4:20,0,0,0,1,0,0,0.91,2.15,0.074,0.488
2025-08-14 4:30,1,0,1,1,1,0,0.92,2.15,0.376,0.939
2025-08-14 4:40,0,0,0,1,0,1,0.93,2.15,0.325,0.549
2025-08-14 4:50,0,1,0,0,0,0,0.94,2.15,0.373,0
2025-08-14 5:00,0,0,0,3,0,8,0.95,2.15,2.23,1.952
2025-08-14 5:10,3,2,2,1,0,2,0.96,2.14,1.837,0.61
2025-08-14 5:20,6,10,4,1,5,6,0.97,2.14,6.965,3.109
2025-08-14 5:30,0,2,1,3,3,0,1,2.14,1.359,2.817
2025-08-14 5:40,0,0,1,0,11,0,1.11,2.15,1.391,4.961
2025-08-14 5:50,0,0,0,0,3,0,1.2,2.16,0.375,1.353
2025-08-14 6:00,0,0,0,0,2,0,1.22,2.18,0.25,0.902
2025-08-14 6:10,0,0,0,2,1,4,1.24,2.86,1.277,1.671
2025-08-14 6:20,0,4,2,0,1,0,1.34,2.93,1.649,0.451
2025-08-14 6:30,0,2,2,1,0,1,1.4,2.91,1.103,0.549
2025-08-14 6:40,1,0,0,0,1,0,1.4,2.86,0.286,0.451
2025-08-14 6:50,0,0,0,2,2,1,1.42,2.84,0.649,1.939
2025-08-14 7:00,0,0,1,1,2,1,1.47,2.86,0.591,1.451
2025-08-14 7:10,0,1,0,1,5,2,1.51,2.88,1.574,2.865
2025-08-14 7:20,2,3,1,0,0,1,1.51,2.89,1.708,0.061
2025-08-14 7:30,1,1,3,0,0,0,1.5,2.87,0.582,0
2025-08-14 7:40,1,0,0,1,0,1,1.48,2.85,0.486,0.549
2025-08-14 7:50,5,3,1,0,1,1,1.51,2.84,2.316,0.512
2025-08-14 8:00,7,6,8,3,1,12,1.57,2.85,6.852,2.647
2025-08-14 8:10,12,19,21,12,5,17,1.57,2.97,15.135,9.148
2025-08-14 8:20,0,6,6,4,10,2,1.66,3.25,4.382,6.584
2025-08-14 8:30,0,1,0,0,1,0,1.74,3.53,0.498,0.451
2025-08-14 8:40,0,0,0,0,1,0,1.76,3.84,0.125,0.451
2025-08-14 8:50,0,0,0,0,0,0,1.82,4.01,0,0
2025-08-14 9:00,0,0,0,0,0,0,1.93,4.06,0,0
2025-08-14 9:10,0,0,0,0,0,0,2.01,4.06,0,0
2025-08-14 9:20,0,0,0,0,0,0,2.01,4.02,0,0
2025-08-14 9:30,0,0,0,0,0,0,1.9,3.95,0,0
2025-08-14 9:40,0,0,0,0,0,0,1.79,3.85,0,0
2025-08-14 9:50,0,0,0,0,0,0,1.68,3.72,0,0
2025-08-14 10:00,0,0,0,0,0,0,1.6,3.59,0,0
2025-08-14 10:10,0,0,0,0,0,0,1.55,3.47,0,0
2025-08-14 10:20,0,0,0,0,0,0,1.53,3.37,0,0
2025-08-14 10:30,0,0,0,0,0,1,1.5,3.28,0.251,0.061
2025-08-14 10:40,0,1,0,1,1,0,1.46,3.2,0.572,0.939
2025-08-14 10:50,1,0,1,0,0,0,1.43,3.11,0.177,0
2025-08-14 11:00,0,0,1,0,0,0,1.4,3.04,0.016,0
2025-08-14 11:10,0,0,0,0,0,0,1.38,2.97,0,0
2025-08-14 11:20,0,0,1,0,0,0,1.36,2.91,0.016,0
2025-08-14 11:30,1,0,0,0,0,0,1.35,2.85,0.161,0
2025-08-14 11:40,0,1,0,0,0,0,1.33,2.81,0.373,0
2025-08-14 11:50,0,0,0,0,0,0,1.31,2.79,0,0
2025-08-14 12:00,0,0,0,0,0,0,1.29,2.77,0,0
